tibetan_syllable	source_variant	source_signature	proposed_target	hypothetical_target	candidate_count	old_categories	new_categories	compatible_accepted_target_count	compatible_competing_forms	incompatible_dotted_forms_excluded	damage_count	volumes
ང	dan	da<FINAL_NASAL>		daṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	gan	ga<FINAL_NASAL>		gaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	gcon	gco<FINAL_NASAL>		gcoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	kan	ka<FINAL_NASAL>		kaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	klon	klo<FINAL_NASAL>		kloṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	kon	ko<FINAL_NASAL>		koṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	kun	ku<FINAL_NASAL>		kuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	lcan	lca<FINAL_NASAL>		lcaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	rkon	rko<FINAL_NASAL>		rkoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	skun	sku<FINAL_NASAL>		skuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	skyun	skyu<FINAL_NASAL>		skyuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	stan	sta<FINAL_NASAL>		staṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	thon	tho<FINAL_NASAL>		thoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	vollkommen	vollkomme<FINAL_NASAL>		vollkommeṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ང	ykan	yka<FINAL_NASAL>		ykaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
ངང	nah	na<FINAL_NASAL>		naṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		daṅ:2; haṅ:1	0	wts_1_34
ངང	thun	thu<FINAL_NASAL>		thuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		daṅ:2; haṅ:1	0	wts_1_34
ཅང	con	co<FINAL_NASAL>		coṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		caṅ:1	0	wts_1_34
ཆུང	ch	c<FINAL_NASAL>		cṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		chuṅ:130; ruṅ:1	0	wts_1_34
ཆུང	sge’n	sge’<FINAL_NASAL>		sge’ṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		chuṅ:130; ruṅ:1	0	wts_1_34
ཉུང	nun	nu<FINAL_NASAL>		nuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ñuṅ:4	0	wts_1_34
ཉུང	run	ru<FINAL_NASAL>		ruṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ñuṅ:4	0	wts_1_34
ཏིང	tun	tu<FINAL_NASAL>		tuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		tiṅ:1; dziṅ:1	0	wts_1_34
ཐང	Ithon	Itho<FINAL_NASAL>		Ithoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		thaṅ:91	0	wts_1_34
ཐང	lhan	lha<FINAL_NASAL>		lhaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		thaṅ:91	0	wts_1_34
ཐང	thin	thi<FINAL_NASAL>		thiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		thaṅ:91	0	wts_1_34
ཐང	thon	tho<FINAL_NASAL>		thoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		thaṅ:91	0	wts_1_34
དང	buddh	budd<FINAL_NASAL>		buddṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		daṅ:118; rkaṅ:1	0	wts_1_34
དང	dangon	dango<FINAL_NASAL>		dangoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		daṅ:118; rkaṅ:1	0	wts_1_34
དཔང	dban	dba<FINAL_NASAL>		dbaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		dpaṅ:10	0	wts_1_34
དཔུང	dpuṅń	dpuṅ<FINAL_NASAL>		dpuṅṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		dpuṅ:39; phuṅ:1	0	wts_35_51
དུང	drun	dru<FINAL_NASAL>		druṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		duṅ:39	0	wts_1_34
དོང	Wildschwein	Wildschwei<FINAL_NASAL>		Wildschweiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		doṅ:23	0	wts_35_51
ནིང	manin	mani<FINAL_NASAL>		maniṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		niṅ:1; miṅ:1	0	wts_9_m
པང	Daseinsbereichen	Daseinsbereiche<FINAL_NASAL>		Daseinsbereicheṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		paṅ:6	0	wts_1_34
ཕང	pan	pa<FINAL_NASAL>		paṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phaṅ:7; pbaṅ:1; pphaṅ:1; phyuṅ:1	0	wts_9_m
ཕུང	ph	p<FINAL_NASAL>		pṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		phuṅ:40; dpuṅ:2; pbuṅ:1	0	wts_35_51
ཕྱང	byan	bya<FINAL_NASAL>		byaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phyaṅ:9; pyaṅ:1; pphyaṅ:1	0	wts_1_34
ཕྱིང	pyih	pyi<FINAL_NASAL>		pyiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phyiṅ:15; ppyiṅ:1; pbyiṅ:1	0	wts_35_51
བང	Rhan	Rha<FINAL_NASAL>		Rhaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_1_34
བང	byun	byu<FINAL_NASAL>		byuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_8_b
བང	than	tha<FINAL_NASAL>		thaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_1_34
བང	thun	thu<FINAL_NASAL>		thuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_1_34
བངས	Tchan	Tcha<FINAL_NASAL>		Tchaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		phaṅs:1; baṅs:1; boṅs:1	0	wts_1_34
བཏུང	btin	bti<FINAL_NASAL>		btiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		btuṅ:1	0	wts_1_34
བཟུང	Tchan	Tcha<FINAL_NASAL>		Tchaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		bzuṅ:9	0	wts_1_34
བཟུང	von	vo<FINAL_NASAL>		voṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		bzuṅ:9	0	wts_1_34
བསླང	bskan	bska<FINAL_NASAL>		bskaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		bskyuṅ:1; bslaṅ:1	0	wts_1_34
བསླང	bskun	bsku<FINAL_NASAL>		bskuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		bskyuṅ:1; bslaṅ:1	0	wts_1_34
བསླང	bsruh	bsru<FINAL_NASAL>		bsruṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		bskyuṅ:1; bslaṅ:1	0	wts_1_34
བིང	thin	thi<FINAL_NASAL>		thiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		biṅ:1	0	wts_1_34
བྲང	bzan	bza<FINAL_NASAL>		bzaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		braṅ:31; byuṅ:1; thaṅ:1; byaṅ:1	0	wts_1_34
བྲེང	entzweien	entzweie<FINAL_NASAL>		entzweieṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		breṅ:10	0	wts_8_b
བྲེང	rennen	renne<FINAL_NASAL>		renneṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		breṅ:10	0	wts_8_b
མང	mon	mo<FINAL_NASAL>		moṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		maṅ:60; miṅ:2; mmaṅ:1	0	wts_1_34
མངང	mdun	mdu<FINAL_NASAL>		mduṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		maṅ:2; mdoṅ:1	0	wts_1_34
མཐང	mthin	mthi<FINAL_NASAL>		mthiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		mthoṅ:1	0	wts_1_34
མདང	mdon	mdo<FINAL_NASAL>		mdoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		mdaṅ:2; indaṅ:1	0	wts_1_34
མོང	dban	dba<FINAL_NASAL>		dbaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		moṅ:17	0	wts_1_34
མོང	mthon	mtho<FINAL_NASAL>		mthoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		moṅ:17	0	wts_1_34
མོང	thun	thu<FINAL_NASAL>		thuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		moṅ:17	0	wts_1_34
ཚང	ishah	isha<FINAL_NASAL>		ishaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		tshaṅ:21; tsbaṅ:1	0	wts_35_51
ཚོང	Tauschhan	Tauschha<FINAL_NASAL>		Tauschhaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		tshoṅ:3; ishoṅ:1	0	wts_1_34
ཝང	ldan	lda<FINAL_NASAL>		ldaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		waṅ:5	0	wts_1_34
ཞང	Zin	Zi<FINAL_NASAL>		Ziṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		Zaṅ:1	0	wts_1_34
འགང	gah	ga<FINAL_NASAL>		gaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		goṅ:1	0	wts_1_34
འགྱང	byun	byu<FINAL_NASAL>		byuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gaṅ:1	0	wts_1_34
འགྱངས	then	the<FINAL_NASAL>		theṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		gyaṅs:1	0	wts_1_34
འཆང	bzun	bzu<FINAL_NASAL>		bzuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		chaṅ:18	0	wts_1_34
འཐུང	den	de<FINAL_NASAL>		deṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		thuṅ:12	0	wts_1_34
འདེང	jmdn	jmd<FINAL_NASAL>		jmdṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		deṅ:1	0	wts_1_34
འདྲེང	drin	dri<FINAL_NASAL>		driṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		diṅ:1	0	wts_1_34
འཕུང	dpun	dpu<FINAL_NASAL>		dpuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phuṅ:1	0	wts_9_m
འབུང	byun	byu<FINAL_NASAL>		byuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		Duṅ:1; buṅ:1; baṅ:1	0	wts_8_b
འབྲང	bren	bre<FINAL_NASAL>		breṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		braṅ:11	0	wts_1_34
འབྲང	byun	byu<FINAL_NASAL>		byuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		braṅ:11	0	wts_35_51
འབྲིང	thin	thi<FINAL_NASAL>		thiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		briṅ:20	0	wts_1_34
འབྲེང	then	the<FINAL_NASAL>		theṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		breṅ:11; briṅ:1	0	wts_1_34
འཚོང	ishoh	isho<FINAL_NASAL>		ishoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		tshoṅ:5; tsboṅ:4	0	wts_35_51
འོང	herbeikommen	herbeikomme<FINAL_NASAL>		herbeikommeṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		oṅ:10	0	wts_1_34
ཡང	nun	nu<FINAL_NASAL>		nuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		yaṅ:30	0	wts_1_34
རང	spyan	spya<FINAL_NASAL>		spyaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		raṅ:14; riṅ:1	0	wts_35_51
རིང	Iderin	Ideri<FINAL_NASAL>		Ideriṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		riṅ:47	0	wts_1_34
རུང	noch	noc<FINAL_NASAL>		nocṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		ruṅ:1	0	wts_1_34
རེངས	auchmoren	auchmore<FINAL_NASAL>		auchmoreṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		reṅs:2	0	wts_9_m
རྐང	bran	bra<FINAL_NASAL>		braṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rkaṅ:105; rkyaṅ:1	0	wts_1_34
རྐང	ran	ra<FINAL_NASAL>		raṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rkaṅ:105; rkyaṅ:1	0	wts_1_34
རྐྱང	Ryan	Rya<FINAL_NASAL>		Ryaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rkyaṅ:25; rkaṅ:1	0	wts_1_34
རྒྱང	igyan	igya<FINAL_NASAL>		igyaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		rgyaṅ:13	0	wts_1_34
རྟིང	yein	yei<FINAL_NASAL>		yeiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		rtiṅ:8	0	wts_1_34
རྨང	rlun	rlu<FINAL_NASAL>		rluṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		rmaṅ:5; maṅ:1	0	wts_1_34
ལང	lin	li<FINAL_NASAL>		liṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		laṅ:25	0	wts_1_34
ལེང	phren	phre<FINAL_NASAL>		phreṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		liṅ:1	1	wts_1_34
ལྔང	lan	la<FINAL_NASAL>		laṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ldaṅ:5; daṅ:1	0	wts_1_34
ལྔང	ljan	lja<FINAL_NASAL>		ljaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ldaṅ:5; daṅ:1	0	wts_1_34
ལྕང	lcun	lcu<FINAL_NASAL>		lcuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		lcaṅ:9	0	wts_1_34
ལྗང	Dan	Da<FINAL_NASAL>		Daṅ	1	competing_latin_forms:1	source_compatible_no_anchor:1	0		daṅ:1; ldaṅ:1; laṅ:1	0	wts_1_34
ལྗང	Ijan	Ija<FINAL_NASAL>		Ijaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		daṅ:1; ldaṅ:1; laṅ:1	0	wts_1_34
ལྟོང	Iton	Ito<FINAL_NASAL>		Itoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		koṅ:1; ltoṅ:1	0	wts_1_34
ལྟོང	h	<FINAL_NASAL>		ṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		koṅ:1; ltoṅ:1	0	wts_1_34
ལྤང	bon	bo<FINAL_NASAL>		boṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		lbaṅ:2; waṅ:1	0	wts_35_51
ཤང	Sun	Su<FINAL_NASAL>		Suṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		Saṅ:1; siṅ:1	0	wts_1_34
ཤེང	śen	śe<FINAL_NASAL>		śeṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		Siṅ:1; Seṅ:1	0	wts_1_34
སང	Ton	To<FINAL_NASAL>		Toṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		saṅ:9; siṅ:1; sdaṅ:1	0	wts_1_34
སང	srun	sru<FINAL_NASAL>		sruṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		saṅ:9; siṅ:1; sdaṅ:1	0	wts_1_34
སྔོང	son	so<FINAL_NASAL>		soṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		sbyoṅ:1	0	wts_8_b
སྔོང	ston	sto<FINAL_NASAL>		stoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		sbyoṅ:1	0	wts_1_34
སྙང	Min	Mi<FINAL_NASAL>		Miṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		snaṅ:2	0	wts_1_34
སྙང	san	sa<FINAL_NASAL>		saṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		snaṅ:2	0	wts_1_34
སྙང	sh	s<FINAL_NASAL>		sṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		snaṅ:2	0	wts_1_34
སྙང	shan	sha<FINAL_NASAL>		shaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		snaṅ:2	0	wts_1_34
སྙིང	Irten	Irte<FINAL_NASAL>		Irteṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
སྙིང	chn	ch<FINAL_NASAL>		chṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
སྙིང	sh	s<FINAL_NASAL>		sṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
སྙིང	sien	sie<FINAL_NASAL>		sieṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
སྙིང	sth	st<FINAL_NASAL>		stṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_35_51
སྙིང	szin	szi<FINAL_NASAL>		sziṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
སྟངས	n	<FINAL_NASAL>		ṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		staṅs:3	0	wts_1_34
སྟེང	Dach	Dac<FINAL_NASAL>		Dacṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		steṅ:37; stoṅ:1	0	wts_35_51
སྤོང	nan	na<FINAL_NASAL>		naṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		spoṅ:8	0	wts_1_34
སྤྲོང	halten	halte<FINAL_NASAL>		halteṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		spoṅ:2; sbyoṅ:1	0	wts_35_51
སྲིང	shin	shi<FINAL_NASAL>		shiṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		sriṅ:13	0	wts_1_34
སྲིང	sin	si<FINAL_NASAL>		siṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		sriṅ:13	0	wts_1_34
སླང	skun	sku<FINAL_NASAL>		skuṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		slaṅ:1	0	wts_1_34
སླང	span	spa<FINAL_NASAL>		spaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		slaṅ:1	0	wts_1_34
སློང	sgon	sgo<FINAL_NASAL>		sgoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	0		sloṅ:1; slonṅ:1	0	wts_1_34
