tibetan_syllable	source_variant	source_signature	supported_target	hypothetical_target	undotted_clean_row_count	base_ocr_dotted_anchor_count	reviewed_exact_dotted_anchor_count	google_adopted_anchor_count	other_postprocess_anchor_count	unknown_provenance_anchor_count	same_volume_raw_anchor_count	cross_volume_raw_anchor_count	explicit_same_entry_repeat_count	direct_repeated_tibetan_alignment_count	probable_cross_reference_count	google_unresolved_exact_target_count	google_candidate_exact_target_count	google_conflicting_reading_count	prior_reviewed_same_source_exact_count	prior_reviewed_same_tibetan_target_different_source_count	damaged_row_count	marker_row_count	tibetan_structure_status	entry_series_cluster_count	alignment_plausibility	target_evidence_channels	lemma_identity_channels	recurrence_context_channels	circular_reviewed_anchor_count	suggested_review_tier	volumes	sample_contexts
ཁུང	Rhun	Rhu<FINAL_NASAL>		Rhuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཁུང་ཉལ་ Rhun nal.
ཁུང	khyun	khyu<FINAL_NASAL>		khyuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཁུང་སེང་འདས་པ་ khyun seṅ ’dus pa achtfüßiger
ཁོང	Khon	Kho<FINAL_NASAL>		Khoṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཁོང་སྒྲིལ་ Khon sgril Fesseln.
ཁོང	ikhon	ikho<FINAL_NASAL>		ikhoṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཁོང་པ་ ikhon pa 1'khon.
ཁྱུང	kbyun	kbyu<FINAL_NASAL>		kbyuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཀླུ་སྦྲལ་འོད་ཁྱུང་ klu sbrul ’od kbyun ¦/5// sbrul ’od
གང	Mannsh	Manns<FINAL_NASAL>		Mannsṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_9_m	མི་གང་ migari Mannshöhe, Klafter.
གཅུང	geun	geu<FINAL_NASAL>		geuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	གཅུང་ geun
གཏང	gran	gra<FINAL_NASAL>		graṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	གཏང་ gran
གཏིང	gein	gei<FINAL_NASAL>		geiṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	གཏིང་ཀློ་ gein klo
གདུང	gun	gu<FINAL_NASAL>		guṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	སྐུ་གདུང་ sh gun.
གདུང	odun	odu<FINAL_NASAL>		oduṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_35_51	"གདུང་ ""odun"
གཞུང	gun	gu<FINAL_NASAL>		guṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཁྲེལ་གཞུང་ khrel gun \khrel.
གཞུང	gzun	gzu<FINAL_NASAL>		gzuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཀླད་གཞུང་ klad gzun Rückenmark.
གཞུང	gźuń	gźu<FINAL_NASAL>		gźuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_35_51	སྤྱི་གཞུང་ spyi gźuń Regierung.
གསུང	gsuṅń	gsuṅ<FINAL_NASAL>		gsuṅṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_35_51	པདྨ་གསུང་ padma gsuṅń cine Mahāyoga-Praxis Ir. -NI'i Hana
གྲང	oran	ora<FINAL_NASAL>		oraṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	གྲང་ཚལ་ oran tshal
གྲོང	grorn	gror<FINAL_NASAL>		grorṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	གྲོང་འཇིག་ grorn jig „Städtezerstörer“, Bei-
གློང	glon	glo<FINAL_NASAL>		gloṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	གློང་ glon pf. !glons umrühren, aufwirbeln.
ང	chan	cha<FINAL_NASAL>		chaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	"ང་ཅན"" chan can Weinbecher; vgl. chin. &"
ང	dan	da<FINAL_NASAL>		daṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ང་པོའི་རྫལ་རྨན་ dan po’ rdul can Bez. für
ང	gan	ga<FINAL_NASAL>		gaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ང་ཁོ་སྦིས། བྲེང་ gan po skem byed Beiname des
ང	kan	ka<FINAL_NASAL>		kaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ང་ཀ་ནག་ག་ཀ་བཅཙན་ kan ka nag gi klu btsan eine
ང	lcan	lca<FINAL_NASAL>		lcaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ང་ར * lcan rüid Weidenkätzchen.
ང	stan	sta<FINAL_NASAL>		staṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ང་ཀྲེའ།” stan zil auch stans zil ein Mineral,
ང	ykan	yka<FINAL_NASAL>		ykaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ང་སྙས།་ ykan skyes Bez. für Angehörige der un-
ངང	nah	na<FINAL_NASAL>		naṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ངང་པའི་རྐང་པ་ nah pa’ rkaṅ pa Bez. für
ཉུང	nun	nu<FINAL_NASAL>		nuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཉུང་ཀར་ nun kar [/7//77.4 kar.
ཉུང	run	ru<FINAL_NASAL>		ruṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཁ་ཉུང་ kha run wortkarg.
ཐང	lhan	lha<FINAL_NASAL>		lhaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཐང་ཆོད་ lhan chod
དཔང	dban	dba<FINAL_NASAL>		dbaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	དགའ་རབ་དཔང་རམྱག་ dga’ rab dban phyug
དཔུང	dpuṅń	dpuṅ<FINAL_NASAL>		dpuṅṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_35_51	དཔུང་ 'dpuṅń
དུང	drun	dru<FINAL_NASAL>		druṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཐོག་དུང་ thog drun hoch und niedrig; Höhe.
ནིང	manin	mani<FINAL_NASAL>		maniṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_9_m	"མ་ནིང་ཕྲ Em"" manin phrag dog ..."
ཕང	pan	pa<FINAL_NASAL>		paṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_9_m	"མ་ཕང་ ""ma pan feine Spindel."
ཕྱང	byan	bya<FINAL_NASAL>		byaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	།ཁ་ཕྱང་བ་ kha byan ba
ཕྱིང	pyih	pyi<FINAL_NASAL>		pyiṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_35_51	ཕྱིང་ pyih lphyin.
བང	Rhan	Rha<FINAL_NASAL>		Rhaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	།བང་བྱུ་ Rhan bu Häuschen, kleine Behausung.
བང	than	tha<FINAL_NASAL>		thaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	བང་ཉོ།། than mo eine Gruppe von Gottheiten.
བིང	thin	thi<FINAL_NASAL>		thiṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	བིང་ ཡུག་ thin yug eine hohe Zahl.
བྲེང	rennen	renne<FINAL_NASAL>		renneṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_8_b	བྲེངས་སེ་བྲེང་ brenssebreṅ onom. rennen,
མོང	mthon	mtho<FINAL_NASAL>		mthoṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	མོང་རྒ་ཆེ་ mthon rgya che weitsichtig, erfah-
ཚང	ishah	isha<FINAL_NASAL>		ishaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_35_51	ནག་ཚང་ nag ishah Kurzf. für nag po'i tshaṅ.
ཝང	ldan	lda<FINAL_NASAL>		ldaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	མངོན་དྭ་ཝང་བ་ mnon du ldan ba ehrerbietiges
འགང	gah	ga<FINAL_NASAL>		gaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	དིང་འགང་ din ’'gah (zw.) Filztuch; vgl. Igdin
འཕུང	dpun	dpu<FINAL_NASAL>		dpuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_9_m	དམག་འཕུང་ Tdmag dpun.
འབུང	byun	byu<FINAL_NASAL>		byuṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_8_b	"འབུང་བཞི་ ""byun bäi auch 'byun ba bäi die vier"
འཚོང	ishoh	isho<FINAL_NASAL>		ishoṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_35_51	ནམ་འཚོང་ nam 'ishoh auch nam tsoṅ, nam
རེངས	auchmoren	auchmore<FINAL_NASAL>		auchmoreṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_9_m	མོ་རེངས།་ morens auchmoren, mo hreris allein-
རྐང	bran	bra<FINAL_NASAL>		braṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	བའུ་བང་རྐང་གཅུག་ lhe u bran rkan geig ein für
རྐང	ran	ra<FINAL_NASAL>		raṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	རྐང་དྲུག་ ran ing ep
རྐྱང	Ryan	Rya<FINAL_NASAL>		Ryaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	རྐྱང་ཟླ་ Ryan zla.
ལྔང	lan	la<FINAL_NASAL>		laṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ལྔང་སེར་ཅན་ lan ser can Bez. für Dürvä-Gras.
ལྔང	ljan	lja<FINAL_NASAL>		ljaṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	འཇམ་ལྔང་འདབ་ལྡན་ am ljan ’dab ldan Bez. für
ལྗང	Dan	Da<FINAL_NASAL>		Daṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	structurally_suspicious			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	"ལྗང་ Dan ""jan."
ཤེང	śen	śe<FINAL_NASAL>		śeṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	ཀིམ་ཤེང་ཀོང་ཅོ་ kim śen koṅ co, auch kim sen khon
སྔོང	son	so<FINAL_NASAL>		soṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_8_b	"བང་སྔོང་ ""byun son Einkünfte und Ausgaben."
སྔོང	ston	sto<FINAL_NASAL>		stoṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	སྔོང་བརང་འྲཆི་བདག་ ston bdud ’chi bdag eine
སྟངས	n	<FINAL_NASAL>		ṅ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review			undotted_rows:1	0	no_anchor_alignment_triage	wts_1_34	འགྱིང་སྟངས་ ’oyın stans Hochmut.
