tibetan_syllable	source_variant	source_signature	proposed_target	candidate_count	old_categories	new_categories	compatible_accepted_target_count	compatible_competing_forms	incompatible_dotted_forms_excluded	damage_count	volumes	transcription_integrity_status	transcription_integrity_blocked_count
ང	bźin	bźi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	chan	cha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	dan	da<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	gan	ga<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	gcon	gco<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	kan	ka<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	klon	klo<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	kon	ko<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	kun	ku<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	lcan	lca<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	rkon	rko<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	skun	sku<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	skyun	skyu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	stan	sta<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	thon	tho<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	vollkommen	vollkomme<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ང	ykan	yka<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ངང	nah	na<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		daṅ:2; haṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ངང	thun	thu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		daṅ:2; haṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
ཅང	con	co<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		caṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཆུང	ch	c<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		chuṅ:130; ruṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཆུང	sge’n	sge’<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		chuṅ:130; ruṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
ཉུང	nun	nu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ñuṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
ཉུང	run	ru<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ñuṅ:4	0	wts_1_34	target_unresolved_no_anchor	0
ཏིང	tun	tu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		tiṅ:17; dziṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཐང	Ithon	Itho<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		thaṅ:91	0	wts_1_34	target_unresolved_no_anchor	0
ཐང	lhan	lha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		thaṅ:91	0	wts_1_34	target_unresolved_no_anchor	0
ཐང	thin	thi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		thaṅ:91	0	wts_1_34	target_unresolved_no_anchor	0
ཐང	thon	tho<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		thaṅ:91	0	wts_1_34	target_unresolved_no_anchor	0
དང	buddh	budd<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		daṅ:118; rkaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
དང	dangon	dango<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		daṅ:118; rkaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
དཔང	dban	dba<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		dpaṅ:10	0	wts_1_34	target_unresolved_no_anchor	0
དཔུང	dpuṅń	dpuṅ<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		dpuṅ:39; phuṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
དུང	drun	dru<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		duṅ:39	0	wts_1_34	target_unresolved_no_anchor	0
དོང	Wildschwein	Wildschwei<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		doṅ:23	0	wts_35_51	target_unresolved_no_anchor	0
ནིང	manin	mani<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		niṅ:1; miṅ:1	0	wts_9_m	target_unresolved_no_anchor	0
པང	Daseinsbereichen	Daseinsbereiche<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		paṅ:6	0	wts_1_34	target_unresolved_no_anchor	0
ཕང	pan	pa<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phaṅ:7; pbaṅ:1; pphaṅ:1; phyuṅ:1	0	wts_9_m	target_unresolved_no_anchor	0
ཕུང	ph	p<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phuṅ:40; dpuṅ:2; pbuṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
ཕྱང	byan	bya<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phyaṅ:9; pyaṅ:1; pphyaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཕྱིང	pyih	pyi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phyiṅ:15; ppyiṅ:1; pbyiṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
བང	Rhan	Rha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བང	byun	byu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_8_b	target_unresolved_no_anchor	0
བང	than	tha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བང	thun	thu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བངས	Tchan	Tcha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		phaṅs:1; baṅs:1; boṅs:1	0	wts_1_34	target_unresolved_no_anchor	0
བཏུང	btin	bti<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		btuṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བཟུང	Tchan	Tcha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		bzuṅ:9	0	wts_1_34	target_unresolved_no_anchor	0
བཟུང	von	vo<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		bzuṅ:9	0	wts_1_34	target_unresolved_no_anchor	0
བསླང	bskan	bska<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		bskyuṅ:1; bslaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བསླང	bskun	bsku<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		bskyuṅ:1; bslaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བསླང	bsruh	bsru<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		bskyuṅ:1; bslaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བིང	thin	thi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		biṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བྲང	bzan	bza<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		braṅ:31; byuṅ:1; thaṅ:1; byaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
བྲེང	entzweien	entzweie<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		breṅ:10	0	wts_8_b	target_unresolved_no_anchor	0
བྲེང	rennen	renne<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		breṅ:10	0	wts_8_b	target_unresolved_no_anchor	0
མང	mon	mo<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		maṅ:60; miṅ:2; mmaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
མངང	mdun	mdu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		maṅ:2; mdoṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
མཐང	mthin	mthi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		mthoṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
མདང	mdon	mdo<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		mdaṅ:2; indaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
མོང	dban	dba<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		moṅ:17	0	wts_1_34	target_unresolved_no_anchor	0
མོང	mthon	mtho<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		moṅ:17	0	wts_1_34	target_unresolved_no_anchor	0
མོང	thun	thu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		moṅ:17	0	wts_1_34	target_unresolved_no_anchor	0
ཚང	ishah	isha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		tshaṅ:21; tsbaṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
ཚོང	Tauschhan	Tauschha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		tshoṅ:3; ishoṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཝང	ldan	lda<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		waṅ:5	0	wts_1_34	target_unresolved_no_anchor	0
ཞང	Zin	Zi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		źaṅ:3	0	wts_1_34	target_unresolved_no_anchor	0
འགང	gah	ga<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		goṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
འགྱང	byun	byu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		gaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
འགྱངས	then	the<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		gyaṅs:1	1	wts_1_34	target_unresolved_no_anchor	0
འཆང	bzun	bzu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		chaṅ:18	0	wts_1_34	target_unresolved_no_anchor	0
འཐུང	den	de<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		thuṅ:12	1	wts_1_34	target_unresolved_no_anchor	0
འདེང	jmdn	jmd<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		deṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
འདྲེང	drin	dri<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		diṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
འཕུང	dpun	dpu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		phuṅ:1	0	wts_9_m	target_unresolved_no_anchor	0
འབུང	byun	byu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		Duṅ:1; buṅ:1; baṅ:1	0	wts_8_b	target_unresolved_no_anchor	0
འབྲང	bren	bre<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		braṅ:11	0	wts_1_34	target_unresolved_no_anchor	0
འབྲང	byun	byu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		braṅ:11	0	wts_35_51	target_unresolved_no_anchor	0
འབྲིང	thin	thi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		briṅ:20	1	wts_1_34	target_unresolved_no_anchor	0
འབྲེང	then	the<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		breṅ:11; briṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
འཚོང	ishoh	isho<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		tshoṅ:5; tsboṅ:4	0	wts_35_51	target_unresolved_no_anchor	0
འོང	herbeikommen	herbeikomme<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		oṅ:10	1	wts_1_34	target_unresolved_no_anchor	0
ཡང	nun	nu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		yaṅ:30	0	wts_1_34	target_unresolved_no_anchor	0
རང	spyan	spya<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		raṅ:14; riṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
རིང	Iderin	Ideri<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		riṅ:47	0	wts_1_34	target_unresolved_no_anchor	0
རུང	noch	noc<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ruṅ:7	0	wts_1_34	target_unresolved_no_anchor	0
རེངས	auchmoren	auchmore<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		reṅs:2	0	wts_9_m	target_unresolved_no_anchor	0
རྐང	bran	bra<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rkaṅ:105; rkyaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
རྐང	ran	ra<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rkaṅ:105; rkyaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
རྐྱང	Ryan	Rya<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rkyaṅ:25; rkaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
རྒྱང	igyan	igya<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rgyaṅ:13	0	wts_1_34	target_unresolved_no_anchor	0
རྟིང	yein	yei<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rtiṅ:8	0	wts_1_34	target_unresolved_no_anchor	0
རྨང	rlun	rlu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		rmaṅ:5; maṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ལང	lin	li<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		laṅ:25	0	wts_1_34	target_unresolved_no_anchor	0
ལེང	phren	phre<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		liṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
ལྔང	lan	la<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ldaṅ:5; daṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ལྔང	ljan	lja<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		ldaṅ:5; daṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ལྕང	lcun	lcu<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		lcaṅ:9	0	wts_1_34	target_unresolved_no_anchor	0
ལྗང	Ijan	Ija<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		ldaṅ:3; daṅ:1; laṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ལྟོང	Iton	Ito<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		koṅ:1; ltoṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ལྟོང	h	<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		koṅ:1; ltoṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
ལྤང	bon	bo<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		lbaṅ:2; waṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
ཤང	Sun	Su<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		Saṅ:1; siṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
ཤེང	śen	śe<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		Siṅ:1; Seṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སང	Ton	To<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		saṅ:9; siṅ:1; sdaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སང	srun	sru<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		saṅ:9; siṅ:1; sdaṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྔོང	son	so<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		sbyoṅ:1	0	wts_8_b	target_unresolved_no_anchor	0
སྔོང	ston	sto<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		sbyoṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྙང	Min	Mi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		snaṅ:2	0	wts_1_34	target_unresolved_no_anchor	0
སྙང	san	sa<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		snaṅ:2	0	wts_1_34	target_unresolved_no_anchor	0
སྙང	sh	s<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		snaṅ:2	0	wts_1_34	target_unresolved_no_anchor	0
སྙང	shan	sha<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		snaṅ:2	0	wts_1_34	target_unresolved_no_anchor	0
སྙིང	Irten	Irte<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_marker_attached:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྙིང	chn	ch<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	1	wts_1_34	target_unresolved_no_anchor	0
སྙིང	sh	s<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྙིང	sien	sie<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྙིང	sth	st<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
སྙིང	szin	szi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34	target_unresolved_no_anchor	0
སྟངས	n	<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		staṅs:3	0	wts_1_34	target_unresolved_no_anchor	0
སྟེང	Dach	Dac<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		steṅ:37; stoṅ:1	0	wts_35_51	target_unresolved_no_anchor	0
སྤོང	nan	na<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		spoṅ:8	0	wts_1_34	target_unresolved_no_anchor	0
སྤྲོང	halten	halte<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_damaged_context:1	0		spoṅ:2; sbyoṅ:1	1	wts_35_51	target_unresolved_no_anchor	0
སྲིང	shin	shi<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		sriṅ:13	0	wts_1_34	target_unresolved_no_anchor	0
སྲིང	sin	si<FINAL_NASAL>		1	not_emitted_by_legacy_global_target:1	source_compatible_no_anchor:1	0		sriṅ:13	0	wts_1_34	target_unresolved_no_anchor	0
