tibetan_syllable	canonical_forms	canonical_status	canonical_confidence_tier	evidence_class	full_target_reviewed	supporting_forms	supporting_volumes	observed_other_forms	credible_competing_transcriptions	competing_forms	competing_support	independent_teaching_occurrences	derived_occurrences	historical_occurrences	domain_breakdown	feature_coverage	feature_dependency_rule_ids	feature_dependency_evidence_ids	feature_leave_one_out_status	rationale
གྱུ		provisional	provisional	historically_supported_candidate	no	AR:0;Ta:0;gru:3;gur:1;gyu:0		AR;Ta;gru;gur;gyu	gru	gru	gru:independent=3,derived=0,historical=10,domains=ordinary_tibetan_lexical_or_compound:9;unclear:1	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱུབ		provisional	provisional	historically_supported_candidate	no	grub:1		grub				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱུམས		provisional	provisional	historically_supported_candidate	no	grums:0		grums				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱུར	gyur	canonical	canonical_independent_strong	independent_multi_context_canonical	no	gyur:5;pf:1;sehr:0	wts_1_34;wts_35_51;wts_8_b	pf;sehr				5	0	10	ordinary_tibetan_lexical_or_compound:10	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱེ		provisional	provisional	historically_supported_candidate	no	gye:0;pho:1		gye;pho				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱེང		provisional	provisional	historically_supported_candidate	no	gyeṅ:2		gyeṅ	gyeṅ	gyeṅ	gyeṅ:independent=2,derived=0,historical=2,domains=ordinary_tibetan_lexical_or_compound:2	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱེད		provisional	provisional	historically_supported_candidate	no	gyed:1		gyed				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱེན		provisional	provisional	historically_supported_candidate	no	gen:0;gyen:1		gen;gyen				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱེར		provisional	provisional	historically_supported_candidate	no	ger:0;gyer:1		ger;gyer				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱེས		provisional	provisional	historically_supported_candidate	no	gyes:1		gyes				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱོ		provisional	provisional	historically_supported_candidate	no	go:0;gyo:0		go;gyo				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱོག		provisional	provisional	historically_supported_candidate	no	gyog:0		gyog				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱོགས		provisional	provisional	historically_supported_candidate	no	gyogs:0		gyogs				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱོང	gyoṅ	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	gyoṅ:9	wts_1_34;wts_35_51					0	9	1	ordinary_tibetan_lexical_or_compound:8;tibetan_proper_name:1	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT	derived_target_plus_independent_feature_composition	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱོད	gyod	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	gyod:1;phyi:1	wts_1_34	phyi				1	0	1	ordinary_tibetan_lexical_or_compound:1	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;CORPUS_DDC164B090C8	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱོན	gyon	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	gyon:1	wts_1_34					1	0	3	ordinary_tibetan_lexical_or_compound:3	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱོས		provisional	provisional	historically_supported_candidate	no	gyos:0		gyos				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྱྭ		provisional	provisional	historically_supported_candidate	no	gru:1		gru				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲ	gra;gru	ambiguous	ambiguous	credible_competing_forms	no	'gru:0;Gerichtshof:1;dgra:1;gañdza:1;gra:4;gri:0;gro:0;gru:2;grwa:0;gu:0;’grig:0;’gru:0	wts_1_34	'gru;Gerichtshof;dgra;gañdza;gri;gro;grwa;gu;’grig;’gru				6	0	20	ordinary_tibetan_lexical_or_compound:13;tibetan_proper_name:1 || ordinary_tibetan_lexical_or_compound:6	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲག	grag	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	grag:2;gug:0	wts_35_51	gug				2	0	2	ordinary_tibetan_lexical_or_compound:2	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲགས	grags	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	dan:0;grags:11	wts_1_34;wts_35_51	dan				10	1	35	ordinary_tibetan_lexical_or_compound:29;tibetan_proper_name:5;unclear:1	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲང	graṅ	canonical	canonical_independent_strong	independent_multi_context_canonical	no	'graṅ:1;graṅ:14;gron:1;gyad:1;oran:1;po:0;’graṅ:1	wts_1_34;wts_8_b;wts_9_m	'graṅ;gron;gyad;oran;po;’graṅ				3	11	3	ordinary_tibetan_lexical_or_compound:14	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲངས		provisional	provisional	historically_supported_candidate	no	grahs:0;grans:3;graṅs:3		grahs;grans;graṅs				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲཆམཊ		provisional	provisional	historically_supported_candidate	no	grum:0		grum				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲན		provisional	provisional	historically_supported_candidate	no	gun:0		gun				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲབ	grub	provisional	canonical_independent_moderate	independent_moderate_evidence	no	cad:0;don:1;grib:0;grub:4	wts_1_34	cad;don;grib				4	0	6	ordinary_tibetan_lexical_or_compound:6	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲབན		provisional	provisional	historically_supported_candidate	no	gzan:1		gzan				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲབས	grabs	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	grabs:2	wts_1_34					2	0	4	ordinary_tibetan_lexical_or_compound:4	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲམ	gram	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	'grum:0;bum:0;gram:2;grum:1;rgya:1	wts_1_34;wts_35_51	'grum;bum;grum;rgya				2	0	7	ordinary_tibetan_lexical_or_compound:7	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲམས		provisional	provisional	historically_supported_candidate	no	grums:0		grums				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲཟན		provisional	provisional	historically_supported_candidate	no	gzan:1		gzan				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲཟི		provisional	provisional	historically_supported_candidate	no	gzi:0		gzi				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲཟུང		provisional	provisional	historically_supported_candidate	no	gzun:0		gzun				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲཟོ		provisional	provisional	historically_supported_candidate	no	gzo:0		gzo				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲའ		provisional	provisional	historically_supported_candidate	no	gyur:0		gyur				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲའོ		provisional	provisional	historically_supported_candidate	no	bra:0		bra				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲར		provisional	provisional	historically_supported_candidate	no	phyir:1		phyir				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲལ		provisional	provisional	historically_supported_candidate	no	gral:2;grol:1;grulthub:0;oral:0;par:0		gral;grol;grulthub;oral;par	gral	gral	gral:independent=2,derived=0,historical=8,domains=ordinary_tibetan_lexical_or_compound:7;unclear:1	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲས	gras	canonical	canonical_independent_strong	independent_multi_context_canonical	no	gras:3;gros:0;grus:0	wts_1_34;wts_35_51	gros;grus				3	0	6	ordinary_tibetan_lexical_or_compound:6	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲསས		provisional	provisional	historically_supported_candidate	no	pf:0		pf				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲི	gri	canonical	canonical_independent_strong	independent_multi_context_canonical	no	Rasiermesser:0;Ti:0;bar:1;gi:2;gri:4;gyi:0;ori:0;plötzlicher:0;thi:1;zin:0;’sgo:0	wts_1_34;wts_35_51	Rasiermesser;Ti;bar;gi;gyi;ori;plötzlicher;thi;zin;’sgo				4	0	22	ordinary_tibetan_lexical_or_compound:21;sanskrit_or_indic_transcription:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲིགས		provisional	provisional	historically_supported_candidate	no	geigs:1		geigs				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲིང		provisional	provisional	historically_supported_candidate	no	then:1;tshogs:1		then;tshogs				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲིབ	grib	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	grib:6	wts_1_34					6	0	13	ordinary_tibetan_lexical_or_compound:13	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_0C6592BB5CEF	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲིབས		provisional	provisional	historically_supported_candidate	no	gribs:0		gribs				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲིམ		provisional	provisional	historically_supported_candidate	no	grim:0		grim				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲིམས	grims	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	grims:1	wts_1_34					1	0	2	ordinary_tibetan_lexical_or_compound:2	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲིལ		provisional	provisional	historically_supported_candidate	no	gril:0		gril				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུ	gru	canonical	canonical_independent_strong	independent_multi_context_canonical	no	des:0;gla:1;gru:8;grwa:1;grü:0	wts_1_34;wts_35_51;wts_9_m	des;gla;grwa;grü				5	3	17	ordinary_tibetan_lexical_or_compound:12;sanskrit_or_indic_transcription:1;tibetan_proper_name:3;unclear:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུག		provisional	provisional	historically_supported_candidate	no	glog:0;oe:0		glog;oe				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུགས		provisional	provisional	historically_supported_candidate	no	grugs:0		grugs				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུང	gruṅ	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	glan:1;grum:1;gruṅ:1	wts_35_51	glan;grum				1	0	1	ordinary_tibetan_lexical_or_compound:1	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;SUFFIX_NG_TO_NDOT	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུབ	grub	canonical	canonical_independent_strong	independent_multi_context_canonical	no	Er:1;grab:1;grub:12	wts_1_34;wts_8_b;wts_9_m	Er;grab				12	0	25	ordinary_tibetan_lexical_or_compound:24;tibetan_proper_name:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུབས		provisional	provisional	historically_supported_candidate	no	er:0		er				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུམ	grum	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	grum:1	wts_1_34					1	0	5	ordinary_tibetan_lexical_or_compound:5	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;CORPUS_5683E9A09D00	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུའི		provisional	provisional	historically_supported_candidate	no	gru'i:1		gru'i				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུའེ		provisional	provisional	historically_supported_candidate	no	gra'i:1		gra'i				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུལ		provisional	provisional	historically_supported_candidate	no	grul:1		grul				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲུས		provisional	provisional	historically_supported_candidate	no	grus:0		grus				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲེ	gre	provisional	canonical_independent_moderate	independent_moderate_evidence	no	gleb:0;gre:2	wts_1_34;wts_9_m	gleb				2	0	8	ordinary_tibetan_lexical_or_compound:8	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲེང		provisional	provisional	historically_supported_candidate	no	gron:2		gron				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲེའུ		provisional	provisional	historically_supported_candidate	no	gren:0		gren				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲེལ		provisional	provisional	historically_supported_candidate	no	thel:1		thel				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲེས		provisional	provisional	historically_supported_candidate	no	gres:0		gres				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོ	gro	canonical	canonical_independent_strong	independent_multi_context_canonical	no	'gro:0;U:0;gis:0;gro:3;mal:0;rta:1;sgo:0	wts_1_34;wts_35_51	'gro;U;gis;mal;rta;sgo				3	0	20	ordinary_tibetan_lexical_or_compound:20	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོག	grog	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	'grog:0;gr:0;grog:4	wts_1_34	'grog;gr				4	0	12	ordinary_tibetan_lexical_or_compound:12	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོགས	grogs	canonical	canonical_independent_strong	independent_multi_context_canonical	no	grog:1;grogs:13	wts_1_34;wts_35_51	grog				13	0	22	ordinary_tibetan_lexical_or_compound:22	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོང	groṅ	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	Dorf:0;Saas:0;goṅ:1;grorn:0;groṅ:29;gtam:0	wts_1_34;wts_35_51	Dorf;Saas;goṅ;grorn;gtam				4	25	16	ordinary_tibetan_lexical_or_compound:30;tibetan_proper_name:1	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོངས		provisional	provisional	historically_supported_candidate	no	grons:0;groṅs:2		grons;groṅs				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོན		provisional	provisional	historically_supported_candidate	no	gron:0		gron				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོམ		provisional	provisional	historically_supported_candidate	no	grom:0		grom				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོའི		provisional	provisional	historically_supported_candidate	no	gro'irtsis:1		gro'irtsis				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོར		provisional	provisional	historically_supported_candidate	no	mit:0		mit				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོལ	grol	canonical	canonical_independent_strong	independent_multi_context_canonical	no	grol:12;grolglin:1	wts_1_34;wts_35_51;wts_8_b;wts_9_m	grolglin				9	3	36	ordinary_tibetan_lexical_or_compound:33;tibetan_proper_name:3	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོས	gros	canonical	canonical_independent_strong	independent_multi_context_canonical	no	Personenname:0;gros:27	wts_1_34;wts_35_51;wts_8_b	Personenname				18	9	53	ordinary_tibetan_lexical_or_compound:37;tibetan_proper_name:15;unclear:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོཾཿ		provisional	provisional	historically_supported_candidate	no	grod:0		grod				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲོཿ		provisional	provisional	historically_supported_candidate	no	pa’i:1		pa’i				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གྲྭ		provisional	provisional	historically_supported_candidate	no	Kopfsteuer:0;Lehrer:0;Ministerrat:1;gra:0;grwa:0;gu:0		Kopfsteuer;Lehrer;Ministerrat;gra;grwa;gu				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླ	gla;gra	ambiguous	ambiguous	credible_competing_forms	no	chu:0;dgra:0;gla:5;gra:2;gri:0;gru:1	wts_1_34;wts_35_51	chu;dgra;gri;gru				7	0	17	ordinary_tibetan_lexical_or_compound:14 || ordinary_tibetan_lexical_or_compound:2;sanskrit_or_indic_transcription:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླག	glag	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	glag:1;glog:0;grag:0	wts_1_34	glog;grag				1	0	5	ordinary_tibetan_lexical_or_compound:5	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླགས	glags	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	gehen:0;glags:1;grugs:0;olags:0	wts_1_34	gehen;grugs;olags				1	0	2	ordinary_tibetan_lexical_or_compound:2	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླང	glaṅ	canonical	canonical_independent_strong	independent_multi_context_canonical	no	glai:0;glani:1;glari:0;glaṅ:53;glin:1;gran:1	wts_1_34;wts_35_51;wts_8_b	glai;glani;glari;glin;gran				7	46	9	ordinary_tibetan_lexical_or_compound:51;tibetan_proper_name:2	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླད	glud	provisional	canonical_independent_moderate	independent_moderate_evidence	no	glad:0;glud:2	wts_1_34	glad				2	0	2	ordinary_tibetan_lexical_or_compound:2	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླན	glan	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	glan:2;glen:0	wts_1_34;wts_35_51	glen				2	0	7	ordinary_tibetan_lexical_or_compound:6;tibetan_proper_name:1	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླམ		provisional	provisional	historically_supported_candidate	no	'glum:0;glam:0		'glum;glam				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླལ		provisional	provisional	historically_supported_candidate	no	glal:0		glal				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླས	glas	canonical	canonical_feature_composed	feature_complete_unique_non_circular	no	glas:2;knüpfen:0;’glas:0	wts_1_34	knüpfen;’glas				2	0	3	ordinary_tibetan_lexical_or_compound:3	feature_complete_route	CORPUS_A6063072E7A9;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_735B62E02527	secure_independent_observation	passed	Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
གླི		provisional	provisional	historically_supported_candidate	no	sgro:0		sgro				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
