tibetan_syllable	prefix	superscript	root_consonant	subjoined_consonants	vowel	suffix_coda	post_suffix	orthographic_stack	ambiguous_root_candidates	role_parse_status	role_parse_confidence	rationale
ནོ			ན		o			ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོག			ན		o	ག		ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོང			ན		o	ང		ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོངས			ན		o	ང	ས	ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོད			ན		o	ད		ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོན			ན		o	ན		ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོམ			ན		o	མ		ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོར			ན		o	ར		ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོལ			ན		o	ལ		ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནོས			ན		o	ས		ན		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ནཾ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7E
ནཿ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
ནྟི			ན	ཏ	i			ནཏ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ནྟྲ			ན	ཏར	a			ནཏར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ནྡི			ན	ད	i			ནད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ནྡེ			ན	ད	e			ནད		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ནྡྲ			ན	དར	a			ནདར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ནྱ			ན	ཡ	a			ནཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ནྲ			ན	ར	a			ནར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ནྲག			ན	ར	a	ག		ནར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པ			པ		a			པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པཀྱི			ཀ	ཡ	i			ཀཡ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པཀླུ			ཀ	ལ	u			ཀལ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པག			པ		a	ག		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པགས			པ		a	ག	ས	པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པགྲོད			ག	ར	o	ད		གར	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པང			པ		a	ང		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པངས			པ		a	ང	ས	པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པཌ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
པད			པ		a	ད		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པདྨ			ད	མ	a			དམ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པདྨའི			ད	མ	i	འ		དམ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པདྨའེ			ད	མ	e	འ		དམ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པདྨས			ད	མ	a	ས		དམ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པདྨོ			ད	མ	o			དམ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པདྲི			ད	ར	i			དར	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པན			པ		a	ན		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པཔ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
པཕུས					u					unusual_stack	none	Consonant sequence does not match conservative role patterns.
པབ			པ		a	བ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པབྲེམས			བ	ར	e	མ	ས	བར	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པམ			པ		a	མ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པཞྩོན			ཞ	ཙ	o	ན		ཞཙ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པའ			པ		a	འ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པའི			པ		i	འ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པའེ			པ		e	འ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པར			པ		a	ར		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པརྐ		ར	ཀ		a			རཀ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པརྱ			ར	ཡ	a			རཡ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པལ			པ		a	ལ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པས			པ		a	ས		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པཱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
པི			པ		i			པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པིང			པ		i	ང		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པིན			པ		i	ན		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པིར			པ		i	ར		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པིས			པ		i	ས		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པུ			པ		u			པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པུཀྐ			ཀ	ཀ	u			ཀཀ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པུག			པ		u	ག		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པུགས			པ		u	ག	ས	པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པུངླ			ང	ལ	u			ངལ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པུཏྲ			ཏ	ར	u			ཏར	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པུན			པ		u	ན		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པུནྣ			ན	ན	u			ནན	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པུར			པ		u	ར		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པུས			པ		u	ས		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པུསྟ		ས	ཏ		u			སཏ	པ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པེ			པ		e			པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པེད			པ		e	ད		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པེས			པ		e	ས		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོ			པ		o			པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོག			པ		o	ག		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོགས			པ		o	ག	ས	པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོཌ					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
པོད			པ		o	ད		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོན			པ		o	ན		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོབ			པ		o	བ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོམ			པ		o	མ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོའ			པ		o	འ		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
པོའེ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
པོར			པ		o	ར		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པོས			པ		o	ས		པ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
པཿ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F7F
པྟ			པ	ཏ	a			པཏ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྤོ			པ	པ	o			པཔ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྦྱན			པ	བཡ	a	ན		པབཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྩ			པ	ཙ	a			པཙ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྱེ			པ	ཡ	e			པཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲ			པ	ར	a			པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲག			པ	ར	a	ག		པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲང			པ	ར	a	ང		པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲན			པ	ར	a	ན		པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲི			པ	ར	i			པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲིཀ			པ	ར	i			པར	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
པྲིན			པ	ར	i	ན		པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲིས			པ	ར	i	ས		པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲུ			པ	ར	u			པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲེ			པ	ར	e			པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲོ			པ	ར	o			པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པྲོག			པ	ར	o	ག		པར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
པླ			པ	ལ	a			པལ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕ			ཕ		a			ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕག			ཕ		a	ག		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕགས			ཕ		a	ག	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕང			ཕ		a	ང		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕཉྟམྨ			ཉ	ཏམ	a	མ		ཉཏམ	ཕ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཕཊ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཕད			ཕ		a	ད		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕན			ཕ		a	ན		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕབ			ཕ		a	བ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕབས			ཕ		a	བ	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕབྲ			བ	ར	a			བར	ཕ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཕམ			ཕ		a	མ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕའི			ཕ		i	འ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕར			ཕ		a	ར		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕརཞོག					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཕརཤ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཕལ			ཕ		a	ལ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕས			ཕ		a	ས		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕི			ཕ		i			ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕིག			ཕ		i	ག		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕིགས			ཕ		i	ག	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕིང			ཕ		i	ང		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕིབས			ཕ		i	བ	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕིར			ཕ		i	ར		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུ			ཕ		u			ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུག			ཕ		u	ག		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུགས			ཕ		u	ག	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུང			ཕ		u	ང		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུཊ					u					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཕུད			ཕ		u	ད		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུན			ཕ		u	ན		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུབ			ཕ		u	བ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུབས			ཕ		u	བ	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུར			ཕ		u	ར		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུལ			ཕ		u	ལ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕུས			ཕ		u	ས		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕེ			ཕ		e			ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕེག			ཕ		e	ག		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕེང			ཕ		e	ང		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕེབ			ཕ		e	བ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕེབས			ཕ		e	བ	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕེའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཕེར			ཕ		e	ར		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕེལ			ཕ		e	ལ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོ			ཕ		o			ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོག			ཕ		o	ག		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོགས			ཕ		o	ག	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོགསྤ		ས	པ		o			སཔ	ཕ;ག	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཕོང			ཕ		o	ང		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོངས			ཕ		o	ང	ས	ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོད			ཕ		o	ད		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོན			ཕ		o	ན		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོབ			ཕ		o	བ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོམ			ཕ		o	མ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཕོར			ཕ		o	ར		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕོལ			ཕ		o	ལ		ཕ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཕྦྱིན			ཕ	བཡ	i	ན		ཕབཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྭ			ཕ	ཝ	a			ཕཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱ			ཕ	ཡ	a			ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱག			ཕ	ཡ	a	ག		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱགས			ཕ	ཡ	a	ག	ས	ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱང			ཕ	ཡ	a	ང		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱད			ཕ	ཡ	a	ད		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱདཏུ			ཕ	ཡ	u			ཕཡ	ད;ཏ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཕྱན			ཕ	ཡ	a	ན		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱམ			ཕ	ཡ	a	མ		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱའོ			ཕ	ཡ	o	འ		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱར			ཕ	ཡ	a	ར		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱལ			ཕ	ཡ	a	ལ		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱས			ཕ	ཡ	a	ས		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱི			ཕ	ཡ	i			ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིག			ཕ	ཡ	i	ག		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིང			ཕ	ཡ	i	ང		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིད			ཕ	ཡ	i	ད		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིན			ཕ	ཡ	i	ན		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིབ			ཕ	ཡ	i	བ		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིམ			ཕ	ཡ	i	མ		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཕྱིར			ཕ	ཡ	i	ར		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིལ			ཕ	ཡ	i	ལ		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱིས			ཕ	ཡ	i	ས		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱུ			ཕ	ཡ	u			ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱུག			ཕ	ཡ	u	ག		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱུགས			ཕ	ཡ	u	ག	ས	ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱུང			ཕ	ཡ	u	ང		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱུངས			ཕ	ཡ	u	ང	ས	ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱུཆགཤན			ཕ	ཡ	u	ན		ཕཡ	ཆ;ག;ཤ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཕྱུར			ཕ	ཡ	u	ར		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱེ			ཕ	ཡ	e			ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱེང			ཕ	ཡ	e	ང		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱེད			ཕ	ཡ	e	ད		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱེན			ཕ	ཡ	e	ན		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱེམ			ཕ	ཡ	e	མ		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱེར			ཕ	ཡ	e	ར		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱེས			ཕ	ཡ	e	ས		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱོ			ཕ	ཡ	o			ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱོགས			ཕ	ཡ	o	ག	ས	ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱོད			ཕ	ཡ	o	ད		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱོར			ཕ	ཡ	o	ར		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱོལ			ཕ	ཡ	o	ལ		ཕཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱྭ			ཕ	ཡཝ	a			ཕཡཝ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྱྱིན			ཕ	ཡཡ	i	ན		ཕཡཡ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲ			ཕ	ར	a			ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲག			ཕ	ར	a	ག		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲང			ཕ	ར	a	ང		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲད			ཕ	ར	a	ད		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲན			ཕ	ར	a	ན		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲབ			ཕ	ར	a	བ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲར			ཕ	ར	a	ར		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲལ			ཕ	ར	a	ལ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲས			ཕ	ར	a	ས		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲི			ཕ	ར	i			ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲིག			ཕ	ར	i	ག		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲིང			ཕ	ར	i	ང		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲིན			ཕ	ར	i	ན		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲིབ			ཕ	ར	i	བ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲིབས			ཕ	ར	i	བ	ས	ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲིར			ཕ	ར	i	ར		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲུ			ཕ	ར	u			ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲུག			ཕ	ར	u	ག		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲུགས			ཕ	ར	u	ག	ས	ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲུང			ཕ	ར	u	ང		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲུབ			ཕ	ར	u	བ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲུམ			ཕ	ར	u	མ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲུལ			ཕ	ར	u	ལ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲེ			ཕ	ར	e			ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲེང			ཕ	ར	e	ང		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲེད			ཕ	ར	e	ད		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲེན			ཕ	ར	e	ན		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲེབས			ཕ	ར	e	བ	ས	ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲེའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཕྲེར			ཕ	ར	e	ར		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲེལ			ཕ	ར	e	ལ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲེས			ཕ	ར	e	ས		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲོ			ཕ	ར	o			ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲོག			ཕ	ར	o	ག		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲོགས			ཕ	ར	o	ག	ས	ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲོད			ཕ	ར	o	ད		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲོབ			ཕ	ར	o	བ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲོམ			ཕ	ར	o	མ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲོའུ										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཕྲོལ			ཕ	ར	o	ལ		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྲོས			ཕ	ར	o	ས		ཕར		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
ཕྷམ			ཕ	ཧ	a	མ		ཕཧ		fully_resolved	high	Unicode stack and trailing suffix roles resolve uniquely.
བ			བ		a			བ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀ	བ		ཀ		a			ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀཀྱིས			ཀ	ཡ	i	ས		ཀཡ	བ;ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
བཀག	བ		ཀ		a	ག		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀགས	བ		ཀ		a	ག	ས	ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀགྲོ			ག	ར	o			གར	བ;ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
བཀང	བ		ཀ		a	ང		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀད	བ		ཀ		a	ད		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀན	བ		ཀ		a	ན		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀབ	བ		ཀ		a	བ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀབས	བ		ཀ		a	བ	ས	ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀའ	བ		ཀ		a	འ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
བཀའར					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
