tibetan_syllable	observed_forms	current_canonical_tier	role_parse_status	composition_status	feature_composed_target	component_rule_ids	supporting_evidence_ids	leave_one_out_status	domain_compatibility	correction_authority	blocker
དཔོན	Anführer;Festungskomman;dpon;po	canonical_independent_strong	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱ	'dpya;dpya	canonical_independent_moderate	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱང	dpyasi;dpyaṅ	canonical_independent_moderate	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱངས	dbyans;dpyans;dpyaṅs	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱད	Behandlung;dpyad;dpyadpa;dpyadtshig;kyi	canonical_independent_strong	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱདཟླ	tha	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
དཔྱའ	dphya';dpya'	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ;suffix_coda:འ
དཔྱས	dpyas	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱི	dpyi	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱིད	dpyid;zla	canonical_independent_moderate	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱིས	dpyis	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱེའུ	dpe'u	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
དཔྱོང	dpyoṅ	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱོངས	dpyoṅs	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྱོད	dpyod	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_E34B3E203AE6;CORPUS_16D4A9AA0695;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྲག	dprag	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྲལ	'dpral;dpral	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྲེ	Vorbildnach;dpre	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_7F71AFFFC788	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ;vowel:e
དཔྲོག	dprog	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཔྲོན	dpon	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	root_consonant:པ
དཕྱིད	dpyid	provisional	fully_resolved	feature_complete_target_support_insufficient	dphyid	RESIDUAL_F3DC70A190E0;RESIDUAL_C14A7F0F1043;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབ	dab;dub	provisional	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབག	dbrag	provisional	fully_resolved	feature_complete_target_support_insufficient	dbag	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབགྱེས	dgyes	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
དབང	'dbani;'dbaṅ;Beiname;Wei;ba'i;bor;dba;dbab;dbanbdag;dbandubsgyur;dbani;dbankhaṅ;dbari;dbaṅ;dbdbaṅ;ddbaṅ;mo;nas;phyug;po	ambiguous	fully_resolved	feature_complete_unique	dbaṅ	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབངས	dbyans;dbyaṅs;kyi	provisional	fully_resolved	feature_complete_target_support_insufficient	dbaṅs	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབད	dbad	provisional	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབན	Dynastiename;in	provisional	fully_resolved	feature_complete_target_support_insufficient	dban	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབཔང	dban	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
དབཔེ	dpe	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
དབབ	dbab	canonical_feature_composed	fully_resolved	feature_complete_unique	dbab	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབབུས	dbus	provisional	fully_resolved	feature_complete_target_support_insufficient	dbubs	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབབྱངས	dbyaṅs	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
དབའ	'dba';dba';ddba';ddbal	canonical_independent_moderate	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
དབར	dbar	provisional	fully_resolved	feature_complete_target_support_insufficient	dbar	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབལ	'dbal;dbal;dbalgyigsas	canonical_feature_composed	fully_resolved	feature_complete_unique	dbal	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབས	dbas	provisional	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབུ	'dbu;dbu;dbubacan;dbugur;dbulcog;ddbu;dlyu	canonical_independent_strong	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབུག	'byind;dbug;dbugsna	canonical_feature_composed	fully_resolved	feature_complete_unique	dbug	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབུགས	dbags;dbugs;dbugsnan	canonical_independent_strong	fully_resolved	feature_complete_unique	dbugs	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབུང	dbuṅ	canonical_feature_composed	fully_resolved	feature_complete_unique	dbuṅ	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབུད	'dbud	unresolved	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབུབ	dbub	canonical_feature_composed	fully_resolved	feature_complete_unique	dbub	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབུམ	buddh	provisional	fully_resolved	feature_complete_target_support_insufficient	dbum	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབུའ	dbu';dbu'skas	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
དབུའི	dbu'i;dbwi	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
དབུར	dbur	canonical_feature_composed	fully_resolved	feature_complete_unique	dbur	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབུལ	'dbul;dbul	canonical_feature_composed	fully_resolved	feature_complete_unique	dbul	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབུས	dbus;ddbus	canonical_independent_moderate	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབུསའགྱུར	dbus	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
དབུསས	dbus	provisional	fully_resolved	feature_complete_target_support_insufficient	dbuss	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_84A74DBDD722;CORPUS_735B62E02527;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབེ	dbe	provisional	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབེན	dben	canonical_independent_strong	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
དབོ	'dbo;dbo	provisional	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབོག	dbog	provisional	fully_resolved	feature_complete_target_support_insufficient	dbog	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབོན	dbon	canonical_feature_composed	fully_resolved	feature_complete_unique	dbon	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབོར	dbor	provisional	fully_resolved	feature_complete_target_support_insufficient	dbor	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_16D4A9AA0695;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབོལ	dbol	provisional	fully_resolved	feature_complete_target_support_insufficient	dbol	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_16D4A9AA0695;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབོས	dbos	provisional	ambiguous_root	role_parse_unresolved				insufficient	unresolved	no	ambiguous_root
དབྱག	dbyug	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyag	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབྱང	dbyaṅ	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyaṅ	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབྱངས	'dbyaṅs;Lobgesang;Trta;Wolkenmelo;dbyans;dbyaris;dbyaṅs;ddbyaṅs;dener	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyaṅs	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབྱབ	dbub	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyab	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབྱམ	dbyam	canonical_feature_composed	fully_resolved	feature_complete_unique	dbyam	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྱའ	dbya'	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	suffix_coda:འ
དབྱར	dbyar	canonical_feature_composed	fully_resolved	feature_complete_unique	dbyar	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྱརད	dbyard	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	post_suffix:ད
དབྱལ	dbyal	canonical_feature_composed	fully_resolved	feature_complete_unique	dbyal	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྱི	'dbyi;'dbyig;dbyi	canonical_feature_composed	fully_resolved	feature_complete_unique	dbyi	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྱིག	dbyig;dbyigbu;dbyigpa;höchster;pa	canonical_independent_strong	fully_resolved	feature_complete_unique	dbyig	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྱིགས	dbyigs	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyigs	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབྱིངས	Himmelsraum;dbyins;dbyiṅs	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyiṅs	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབྱིན	dbyin	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyin	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབྱིབས	dbyibs	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyibs	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབྱུ	dbyu	provisional	fully_resolved	feature_complete_target_support_insufficient	dbyu	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_84A74DBDD722	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
དབྱུག	dbyug;dbyugrtse	canonical_feature_composed	fully_resolved	feature_complete_unique	dbyug	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྱུགས	dbyugs	canonical_feature_composed	fully_resolved	feature_complete_unique	dbyugs	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྱུང	dbyuṅ;fur;dbyun;dbyun	canonical_independent_strong	fully_resolved	feature_complete_unique	dbyuṅ	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_84A74DBDD722;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྱེ	'dbye;dbye	canonical_independent_moderate	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
དབྱེག	dbyig	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
དབྱེན	'dbyen;dbyen	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
དབྱེབས	dbyibs	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
དབྱེར	dbyer	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
དབྱེལ	dbyel	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;RESIDUAL_A5A2CF47705E	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
དབྱེས	dbyes	provisional	fully_resolved	feature_partial		RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	insufficient	unresolved	no	vowel:e
དབྲ	dag	provisional	fully_resolved	feature_complete_target_support_insufficient	dbra	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
དབྲག	dbrag	canonical_feature_composed	fully_resolved	feature_complete_unique	dbrag	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
དབྲགས	dbugs	provisional	fully_resolved	feature_complete_target_support_insufficient	dbrags	RESIDUAL_F3DC70A190E0;CORPUS_B453155DE050;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=no_positive_target_observation;tibetan_proper_name=no_positive_target_observation	passed	unresolved	no	no_positive_target_observation
