tibetan_syllable	baseline_target	current_target	baseline_status	current_status	migration_disposition	rationale
རགས	rags	rags	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རང	raṅ	raṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རངས	raṅs	raṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རན	ran	ran	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རམ	ram	ram	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རམས	rams	rams	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རཱ	ra		canonical_feature_composed	role_parse_unresolved	downgraded	unsupported_orthographic_sign
རཱི	ri		canonical_feature_composed	role_parse_unresolved	downgraded	unsupported_orthographic_sign
རིན	rin	rin	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རིབ	rib	rib	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རིར	rir	rir	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རུང	ruṅ	ruṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རུམ	rum	rum	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རོགས	rogs	rogs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རོང	roṅ	roṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རོན	ron	ron	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རོམ	rom	rom	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རོས	ros	ros	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒ	rga	rga	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒས	rgas	rgas	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒུ	rgu	rgu	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒུད	rgud	rgud	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒུན	rgun	rgun	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒོ	rgo	rgo	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒོན	rgon	rgon	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒྱང	rgyaṅ	rgyaṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒྱམ	rgyam	rgyam	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྒྱུས	rgyus	rgyus	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྣག	rnag	rnag	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྣགས	rnags	rnags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྣང	rnaṅ	rnaṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྣམས	rnams	rnams	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྣོགས	rnogs	rnogs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྣོན	rnon	rnon	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྣོར	rnor	rnor	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྦ	rba	rba	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྦད	rbad	rbad	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྦབ	rbab	rbab	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྦས	rbas	rbas	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྦོད	rbod	rbod	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྨག	rmag	rmag	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨད	rmad	rmad	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྨན	rman	rman	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨས	rmas	rmas	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨི	rmi	rmi	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྨིག	rmig	rmig	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྨུ	rmu	rmu	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨུག	rmug	rmug	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྨུགས	rmugs	rmugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨུར	rmur	rmur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨུས	rmus	rmus	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨོ	rmo	rmo	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྨོག	rmog	rmog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རྨོངས	rmoṅs	rmoṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨོད	rmod	rmod	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨོན	rmon	rmon	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རྨཾ	rma		canonical_feature_composed	role_parse_unresolved	downgraded	unsupported_orthographic_sign
རླག	rlag	rlag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རླབས	rlabs	rlabs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རླུང	rluṅ	rluṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
རློབས	rlobs	rlobs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
རློམས	rloms	rloms	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ལགས	lags	lags	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ལངས	laṅs	laṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ལད	lad	lad	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ལབ	lab	lab	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ལར	lar	lar	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ལཱ	la		canonical_feature_composed	role_parse_unresolved	downgraded	unsupported_orthographic_sign
ལཱི	li		canonical_feature_composed	role_parse_unresolved	downgraded	unsupported_orthographic_sign
ལིན	lin	lin	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ལུགས	lugs	lugs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ལུད	lud	lud	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ལུམ	lum	lum	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ལོགས	logs	logs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ལོངས	loṅs	loṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ལོད	lod	lod	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ལོན	lon	lon	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ལོབ	lob	lob	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ལོས	los	los	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒ	sga	sga	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒང	sgaṅ	sgaṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒབ	sgab	sgab	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒམ	sgam	sgam	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒར	sgar	sgar	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒུ	sgu	sgu	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒུད	sgud	sgud	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒུམ	sgum	sgum	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒུར	sgur	sgur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒོག	sgog	sgog	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒོང	sgoṅ	sgoṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒོམ	sgom	sgom	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒོམས	sgoms	sgoms	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒོར	sgor	sgor	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒོས	sgos	sgos	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒྱིད	sgyid	sgyid	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྱུ	sgyu	sgyu	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྱུག	sgyug	sgyug	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྱོ	sgyo	sgyo	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒྱོགས	sgyogs	sgyogs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲགས	sgrags	sgrags	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲིག	sgrig	sgrig	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲིགས	sgrigs	sgrigs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲིན	sgrin	sgrin	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒྲིབ	sgrib	sgrib	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲིབས	sgribs	sgribs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒྲིམ	sgrim	sgrim	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲིམས	sgrims	sgrims	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒྲུགས	sgrugs	sgrugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒྲུང	sgruṅ	sgruṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲུབས	sgrubs	sgrubs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒྲོ	sgro	sgro	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲོགས	sgrogs	sgrogs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲོན	sgron	sgron	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲོབ	sgrob	sgrob	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྒྲོམ	sgrom	sgrom	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྒྲོས	sgros	sgros	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྣག	snag	snag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྣབས	snabs	snabs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྣར	snar	snar	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྣུན	snun	snun	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྣུམ	snum	snum	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྣུར	snur	snur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྣོག	snog	snog	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྣོན	snon	snon	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྣོམ	snom	snom	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦ	sba	sba	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦག	sbag	sbag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྦས	sbas	sbas	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྦུ	sbu	sbu	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦུབས	sbubs	sbubs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦུར	sbur	sbur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦོ	sbo	sbo	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦོངས	sboṅs	sboṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦོས	sbos	sbos	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྱངས	sbyaṅs	sbyaṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྱོངས	sbyoṅs	sbyoṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲགས	sbrags	sbrags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲངས	sbraṅs	sbraṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲན	sbran	sbran	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲབ	sbrab	sbrab	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲབས	sbrabs	sbrabs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲས	sbras	sbras	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྦྲིད	sbrid	sbrid	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲུག	sbrug	sbrug	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲུབ	sbrub	sbrub	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྦྲུམ	sbrum	sbrum	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྨ	sma	sma	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྨགས	smags	smags	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨར	smar	smar	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨིག	smig	smig	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨིན	smin	smin	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨུ	smu	smu	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨུག	smug	smug	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨུགས	smugs	smugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྨོད	smod	smod	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྨོན	smon	smon	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨོས	smos	smos	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨྱག	smyag	smyag	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྨྱགས	smyags	smyags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྨྱིག	smyig	smyig	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨྱུག	smyug	smyug	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨྱུང	smyuṅ	smyuṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨྱུན	smyun	smyun	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
སྨྲས	smras	smras	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
སྨྲིག	smrig	smrig	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
