tibetan_syllable	source_variant	source_state	supported_target	other_source_variants	same_tibetan_dotted_forms	reviewed_canonical_target	review_evidence	sample_context
ཤང	Sun	no_anchor_clean_source_shape		San;Sin;sin	Saṅ:1; siṅ:1			ཅང་འེ་ཤང་ can ’e Sun npr.
ཤེང	sen	no_anchor_clean_source_shape		śen	Siṅ:1; Seṅ:1			ཀམ་ཤེང་ kam sen, auch skam sen, kham śen ein
ཤེང	śen	no_anchor_clean_source_shape		sen	Siṅ:1; Seṅ:1			ཀིམ་ཤེང་ཀོང་ཅོ་ kim śen koṅ co, auch kim sen khon
སང	sen	no_anchor_clean_source_shape		Ton;sran;srun	saṅ:9; siṅ:1; sdaṅ:1			སྐྱ་སང་སང་པ་ skya sen sen po
སང	sran	no_anchor_clean_source_shape		Ton;sen;srun	saṅ:9; siṅ:1; sdaṅ:1			དྭྱངལ་སང་ drul sran
སང	srun	no_anchor_clean_source_shape		Ton;sen;sran	saṅ:9; siṅ:1; sdaṅ:1			ངོ་སང་ no srun pf. und fut. ro bsrun jmdm.
སྔང	san	no_anchor_clean_source_shape			sdaṅ:2			ཆེང་སྔང་ chin san auch ’chin san, phyin san
སྔོང	sdon	no_anchor_clean_source_shape		son;ston	sbyoṅ:1			སྐྱེ་སྔོང་ skye sdon ein Baum.
སྔོང	son	no_anchor_clean_source_shape		sdon;ston	sbyoṅ:1			"བང་སྔོང་ ""byun son Einkünfte und Ausgaben."
སྔོང	ston	no_anchor_clean_source_shape		sdon;son	sbyoṅ:1			སྔོང་བརང་འྲཆི་བདག་ ston bdud ’chi bdag eine
སྙང	Min	no_anchor_clean_source_shape		san;sh;shan;sin	snaṅ:2			སྙང་ནད་ Min nad Herzerkrankung, Herz-
སྙང	san	no_anchor_clean_source_shape		Min;sh;shan;sin	snaṅ:2			སྙང་རླུང་ san rluṅ
སྙང	sh	no_anchor_clean_source_shape		Min;san;shan;sin	snaṅ:2			སྙང་པོའ་།ཁང་པ་ sh po’i khaṅ pa Bez. für
སྙང	shan	no_anchor_clean_source_shape		Min;san;sh;sin	snaṅ:2			སྙང་སྙོང་ shan sion sinnlos, 111111061༽༣61110,
སྙང	sin	no_anchor_clean_source_shape		Min;san;sh;shan	snaṅ:2			"མཇུག་སྙང་ ming sin auch ""ug säin Herzstück"
སྙིང	sAin	no_anchor_clean_source_shape		Irten;chn;sh;shin;sien;sin;snin;sth;sun;szin;sñiń	siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1			སྙིང་ལས་ sAin las Sorge.
སྙིང	sh	no_anchor_clean_source_shape		Irten;chn;sAin;shin;sien;sin;snin;sth;sun;szin;sñiń	siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1			དགང་སྙིང་ dgun shäin Bez. der chin. Tierkreis-
སྙིང	shin	no_anchor_clean_source_shape		Irten;chn;sAin;sh;sien;sin;snin;sth;sun;szin;sñiń	siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1			དགེ་བའི་སྙིང་པོ་ dge ba’i shin po
སྙིང	sien	no_anchor_clean_source_shape		Irten;chn;sAin;sh;shin;sin;snin;sth;sun;szin;sñiń	siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1			སྙིང་ 'sien auch $)76/75 pf. Ibsnens fur. Ibsäen
སྙིང	snin	no_anchor_clean_source_shape		Irten;chn;sAin;sh;shin;sien;sin;sth;sun;szin;sñiń	siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1			སྙིང་ཀ་ snin ka Isnin ga.
སྙིང	sth	no_anchor_clean_source_shape		Irten;chn;sAin;sh;shin;sien;sin;snin;sun;szin;sñiń	siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1			"auch der Himmelsfluß"" (brDa); ha' chn bo ནམ་མཁའི་སྙིང་པོ nam mkha'i sth po auch nam"
སྙིང	sun	no_anchor_clean_source_shape		Irten;chn;sAin;sh;shin;sien;sin;snin;sth;szin;sñiń	siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1			སྙིང་ sun.
སྙིང	szin	no_anchor_clean_source_shape		Irten;chn;sAin;sh;shin;sien;sin;snin;sth;sun;sñiń	siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1			སྙིང་ཕྲ་ང་ szin phur vollkommen, eindringlich
སྟངས	n	no_anchor_clean_source_shape			staṅs:3			འགྱིང་སྟངས་ ’oyın stans Hochmut.
སྤོང	nan	no_anchor_clean_source_shape			spoṅ:8			& “་སྤོང་སྐྱེས་ nan spoh skyes Bez. für dürväa-
སྲིང	shin	no_anchor_clean_source_shape		sin	sriṅ:13			མ་མགོ་ཀགྲང་སྲིང་ dom mgo glan shin eine füh-
སྲིང	sin	no_anchor_clean_source_shape		shin	sriṅ:13			ཅུང་སྲིང་ cun sin eine Speise.
སླང	skun	no_anchor_clean_source_shape		span	slaṅ:1			ང་སླང་ skun skun verborgen, geheim.
སླང	span	no_anchor_clean_source_shape		skun	slaṅ:1			གབ་སླང་ gab span [arch.] Gebälk, Abschluß-
སློང	sgon	no_anchor_clean_source_shape		slon	sloṅ:1; slonṅ:1			མབར་སློང་ mkhar sgon
གང	Mannsh	obvious_alignment_or_gloss_noise		gon;gun	gaṅ:75			མི་གང་ migari Mannshöhe, Klafter.
དོང	Wildschwein	obvious_alignment_or_gloss_noise			doṅ:23			ཕྲག་དོང་ phagrgod Wildschwein; wilder Eber,
པང	Daseinsbereichen	obvious_alignment_or_gloss_noise			paṅ:6			པང Daseinsbereichen.
རུང	noch	obvious_alignment_or_gloss_noise		run	ruṅ:1			ད་རུང་ darun noch, dann, weiterhin, noch im-
སྟེང	Dach	obvious_alignment_or_gloss_noise			steṅ:37; stoṅ:1			པུ་ཤུ་སྟེང་ ༼ sten Giebel, Dach eines Pala-
