source_form	canonical_form	difference_class	independent_tibetan_syllables	occurrences	domains	authorization_status
Polypen	lu	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Pose	stabs	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Pr	dar	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Pr	phyur	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Praxis	lam	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Prognostik	bu	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Quarz	goṅ	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Querbalken	lcam	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
R	skyes	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
RAT	mgo	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
RE	kun	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
REN	thugs	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
RR	dwa	canonical_target_known_but_edit_unclassified	1	1	sanskrit_or_indic_transcription:1	diagnostic_only
RS	ne	canonical_target_known_but_edit_unclassified	1	1	tibetan_proper_name:1	diagnostic_only
RS	stobs	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
RSEN	gsen	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rache	jal	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ran	can	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rand	ras	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ration	gtad	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rauch	med	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ray	snam	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Re	ta	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Regenmantel	gos	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Reichtum	khro	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Reichtum	nor	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Reinheit	lu	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Reiseleiter	sna	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Reittier	dkar	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rekrutierung	btsun	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Reue	gdu	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhab	thab	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhag	khag	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhan	baṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhog	khag	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhog	khog	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhrag	khag	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhrag	khrag	single_diacritic_confusion	1	2	ordinary_tibetan_lexical_or_compound:2	diagnostic_only
Rhugrta	khug	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhugs	khugs	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhun	khuṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhyab	khyab	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rhyil	khyil	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ries	nes	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rind	phyaṅ	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Ritu	thabs	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ritual	dzu	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ritus	phyuṅ	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Rkhas	bas	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rock	gos	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rohrfl	gliṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Rottleria	nan	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ru	sku	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ruder	gśog	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Ruder	lag	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Ruhm	mo	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Run	kun	single_diacritic_confusion	1	2	ordinary_tibetan_lexical_or_compound:2	diagnostic_only
Ryan	kyaṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ryan	rkyaṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
S	ban	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
S	bu	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
S	de	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
S	kra	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
S	med	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
S	phyug	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
SAYS	mgo	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
SI	debs	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
SIEH	gu	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
SSa	bru	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
SSm	bya	canonical_target_known_but_edit_unclassified	1	1	tibetan_proper_name:1	diagnostic_only
ST	gcig	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
STAAT	stag	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
STATE	go	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sa	gros	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sa	koṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Saas	groṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sana	San	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sch	yog	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schakal	gzan	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schiff	gro	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schlacht	thabs	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schlachtfeld	rwa	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schlangenschwanz	mjug	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schleifstein	bu	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schlichtungsurkunde	gan	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schmatzen	mug	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schmutz	ri	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schnabel	mchu	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Schnellrechnung	rtsis	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Schrift	yig	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schuhe	lham	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schwalbe	rta	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schweinefett	tshil	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Schūtzer	phyug	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Segen	bcol	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Seident	yug	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Selbsterzeu	bskyed	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ses	du	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Si	ras	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
SiS	sis	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sichtweise	lugs	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sila	la	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sinnest	pi	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sis	sis	single_diacritic_confusion	1	6	ordinary_tibetan_lexical_or_compound:6	diagnostic_only
Sl	go	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Sl	la	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sod	sod	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Soldat	dmag	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sonne	gdugs	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Sonnengottes	la	canonical_target_known_but_edit_unclassified	1	2	ordinary_tibetan_lexical_or_compound:2	diagnostic_only
Sor	sor	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sperma	kar	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Spiegel	ku	canonical_target_known_but_edit_unclassified	1	1	sanskrit_or_indic_transcription:1	diagnostic_only
Spiegelung	mo	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sprache	skad	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Spur	rjes	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Spur	spur	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sreg	sreg	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Staatsfahne	dar	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Stadt	ri	canonical_target_known_but_edit_unclassified	1	1	sanskrit_or_indic_transcription:1	diagnostic_only
Stan	stan	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Stechapfel	to	canonical_target_known_but_edit_unclassified	1	1	sanskrit_or_indic_transcription:1	diagnostic_only
Strickleiter	skas	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Strudel	la	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sturm	rluṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Subs	śubs	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Substitutsopfer	chi	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Suffix	go	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Sugs	can	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Sugs	sugs	single_diacritic_confusion	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Sul	sul	single_diacritic_confusion	1	9	ordinary_tibetan_lexical_or_compound:9	diagnostic_only
Sun	sun	single_diacritic_confusion	1	0	unclear:1	diagnostic_only
Suppe	beud	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
T	g.yu	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
T	kun	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tagebuch	tho	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Taube	phu	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tauschhan	tshoṅ	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tbag	tshos	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tbar	khug	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tbutsha	bo	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tbyams	lṅa	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tchan	bzuṅ	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Tchins	yig	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tchu	sbyaṅ	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tda	ru	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tdmag	dmag	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tdmu	thag	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Te	skor	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Text	k	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Text	ran	canonical_target_known_but_edit_unclassified	1	0	sanskrit_or_indic_transcription:1	diagnostic_only
Texte	jo	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Thin	par	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Thor	bu	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Thyis	gyis	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Tieren	pi	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tkhar	sloṅ	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tkhyug	se	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Tma	rma	single_diacritic_confusion	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tmchod	byed	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tmgo	don	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tmi	mchog	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tmigtsan	tse	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tmigzugs	gzugs	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tmium	rum	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tomi	lus	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ton	saṅ	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tpha	oṅ	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tphe	raṅ	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tphru	gu	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tphya	le	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tram	pag	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Trie	gro	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Trmiltas	ltas	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Trommelstock	g.yog	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Trta	can	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tsfin	nas	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Tstag	la	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Tte	bor	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Ttheb	bdag	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Tuṅ	luṅ	single_diacritic_confusion	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
U	gro	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Umgangssprache	gtam	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Umrechnungsmethode	lugs	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Unend	yas	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Unterbre	mas	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Unterbreitung	phul	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Unterlage	gdan	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Unterst	mgon	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Unterweisung	luṅ	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
V'bre	gaṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Vars	dwa	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Vdod	yon	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verbindung	thag	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Vereinigung	sbyor	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Verf	yig	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verfehlung	sgrib	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verhalten	ltos	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verhaltens	tse	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verlust	rag	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verr	bog	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verstopfung	gag	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Verstopfung	skam	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Vertreter	khra	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verwandte	brel	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Verwandte	tshan	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Verwandtschaft	tshan	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Verwandtschaftsverh	zla	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Veuergef	yi	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Vjig	jig	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Vogelkadaver	ro	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Vollmond	byad	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Vor	cig	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Vorausschau	mthoṅ	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Vorausschau	rtogs	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Vorzeichen	phra	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Vri	bri	single_diacritic_confusion	1	1	tibetan_proper_name:1	diagnostic_only
V’chi	blas	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
V’khur	khar	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
W	daṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
W	kun	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
W	ram	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wandel	ldog	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
War	dur	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Warnuṅ	gtoṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wasserkeim	bon	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
We	tho	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wedel	yab	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Weg	lam	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wehul	khul	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wei	dbaṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Weizenmehl	phye	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Welt	dzin	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Weltgegend	no	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wesentliches	mdo	canonical_target_known_but_edit_unclassified	1	0	unclear:1	diagnostic_only
Wetzstein	chod	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Widerspruch	gtam	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wild	gzan	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wildschwein	doṅ	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wollb	dab	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Wolltuch	gos	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Worten	gyed	canonical_target_known_but_edit_unclassified	1	0	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Worten	la	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
XX	skar	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Y'bron	ge	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Y'ranzose	se	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
Yam	jam	single_diacritic_confusion	1	1	tibetan_proper_name:1	diagnostic_only
Ybyas	gzo	canonical_target_known_but_edit_unclassified	1	1	ordinary_tibetan_lexical_or_compound:1	diagnostic_only
