tibetan_syllable	feature_composed_target	tibetan_signs	parser_interpretation	component_rule_ids	domain	unsupported_sign_status	target_support_channel	retain_or_downgrade	rationale
བགྲང	bgraṅ	U+0F56;U+0F42;U+0FB2;U+0F44	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound:9	none	ordinary_tibetan_lexical_or_compound=reviewed_full_target;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བགྲོས	bgros	U+0F56;U+0F42;U+0FB2;U+0F7C;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_16D4A9AA0695;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བཞག	bźag	U+0F56;U+0F5E;U+0F42	fully_resolved	CORPUS_F39DE6FEA67D;ROOT_ZHA_TO_ZACUTE;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:11	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation	retain	Current strict composition and admissible target support pass.
བཞོན	bźon	U+0F56;U+0F5E;U+0F7C;U+0F53	fully_resolved	CORPUS_F39DE6FEA67D;ROOT_ZHA_TO_ZACUTE;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=alternate_witness_only	downgrade	alternate_witness_only
བརྒད	brgad	U+0F56;U+0F62;U+0F92;U+0F51	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_987FBEB04DC6;CORPUS_A6063072E7A9;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བརྒྱན	brgyan	U+0F56;U+0F62;U+0F92;U+0FB1;U+0F53	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_987FBEB04DC6;CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:1;tibetan_proper_name:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བརྒྱབ	brgyab	U+0F56;U+0F62;U+0F92;U+0FB1;U+0F56	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_987FBEB04DC6;CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བརྒྱར	brgyar	U+0F56;U+0F62;U+0F92;U+0FB1;U+0F62	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_987FBEB04DC6;CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བརྣགས	brnags	U+0F56;U+0F62;U+0FA3;U+0F42;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_987FBEB04DC6;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བརྣང	brnaṅ	U+0F56;U+0F62;U+0FA3;U+0F44	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_987FBEB04DC6;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བརྣན	brnan	U+0F56;U+0F62;U+0FA3;U+0F53	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_987FBEB04DC6;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བརྣོག	brnog	U+0F56;U+0F62;U+0FA3;U+0F7C;U+0F42	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_987FBEB04DC6;CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བརླག	brlag	U+0F56;U+0F62;U+0FB3;U+0F42	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_5BE28982C775;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བརླབ	brlab	U+0F56;U+0F62;U+0FB3;U+0F56	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_5BE28982C775;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བརླབས	brlabs	U+0F56;U+0F62;U+0FB3;U+0F56;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_5BE28982C775;CORPUS_ED2342564FDA;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:5	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བརླུག	brlug	U+0F56;U+0F62;U+0FB3;U+0F74;U+0F42	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_5BE28982C775;CORPUS_ED2342564FDA;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒགས	bsgags	U+0F56;U+0F66;U+0F92;U+0F42;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒབ	bsgab	U+0F56;U+0F66;U+0F92;U+0F56	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒར	bsgar	U+0F56;U+0F66;U+0F92;U+0F62	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒུགས	bsgugs	U+0F56;U+0F66;U+0F92;U+0F74;U+0F42;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒོ	bsgo	U+0F56;U+0F66;U+0F92;U+0F7C	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_16D4A9AA0695	ordinary_tibetan_lexical_or_compound:5	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བསྒོམ	bsgom	U+0F56;U+0F66;U+0F92;U+0F7C;U+0F58	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_16D4A9AA0695;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:4	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒོམས	bsgoms	U+0F56;U+0F66;U+0F92;U+0F7C;U+0F58;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_16D4A9AA0695;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:4	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒོས	bsgos	U+0F56;U+0F66;U+0F92;U+0F7C;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_16D4A9AA0695;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བསྒྱིངས	bsgyiṅs	U+0F56;U+0F66;U+0F92;U+0FB1;U+0F72;U+0F44;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒྲགས	bsgrags	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F42;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:4	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བསྒྲད	bsgrad	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F51	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒྲིག	bsgrig	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F72;U+0F42	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒྲིགས	bsgrigs	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F72;U+0F42;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:6	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒྲིན	bsgrin	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F72;U+0F53	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒྲིམས	bsgrims	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F72;U+0F58;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_63EB474B7A3F;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བསྒྲུགས	bsgrugs	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F74;U+0F42;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒྲུབ	bsgrub	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F74;U+0F56	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:4	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྒྲུབས	bsgrubs	U+0F56;U+0F66;U+0F92;U+0FB2;U+0F74;U+0F56;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_A6063072E7A9;CORPUS_7F71AFFFC788;CORPUS_84A74DBDD722;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣངས	bsnaṅs	U+0F56;U+0F66;U+0FA3;U+0F44;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣད	bsnad	U+0F56;U+0F66;U+0FA3;U+0F51	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣམ	bsnam	U+0F56;U+0F66;U+0FA3;U+0F58	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣམས	bsnams	U+0F56;U+0F66;U+0FA3;U+0F58;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བསྣར	bsnar	U+0F56;U+0F66;U+0FA3;U+0F62	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣུད	bsnud	U+0F56;U+0F66;U+0FA3;U+0F74;U+0F51	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_84A74DBDD722;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣུན	bsnun	U+0F56;U+0F66;U+0FA3;U+0F74;U+0F53	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_84A74DBDD722;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣུབ	bsnub	U+0F56;U+0F66;U+0FA3;U+0F74;U+0F56	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_84A74DBDD722;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣུར	bsnur	U+0F56;U+0F66;U+0FA3;U+0F74;U+0F62	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_84A74DBDD722;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བསྣོག	bsnog	U+0F56;U+0F66;U+0FA3;U+0F7C;U+0F42	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣོན	bsnon	U+0F56;U+0F66;U+0FA3;U+0F7C;U+0F53	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣོར	bsnor	U+0F56;U+0F66;U+0FA3;U+0F7C;U+0F62	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བསྣོས	bsnos	U+0F56;U+0F66;U+0FA3;U+0F7C;U+0F66	fully_resolved	CORPUS_F39DE6FEA67D;CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_16D4A9AA0695;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བཱ	ba	U+0F56;U+0F71	unsupported_orthographic_sign		ordinary_tibetan_lexical_or_compound:1;tibetan_proper_name:1	U+0F71		downgrade	unsupported_orthographic_sign
བྱག	byag	U+0F56;U+0FB1;U+0F42	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=derived_target_plus_independent_feature_composition;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བྱབ	byab	U+0F56;U+0FB1;U+0F56	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བྱབས	byabs	U+0F56;U+0FB1;U+0F56;U+0F66	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བྱམ	byam	U+0F56;U+0FB1;U+0F58	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བྱམས	byams	U+0F56;U+0FB1;U+0F58;U+0F66	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:14;tibetan_proper_name:6	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བྱར	byar	U+0F56;U+0FB1;U+0F62	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བྱིང	byiṅ	U+0F56;U+0FB1;U+0F72;U+0F44	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བྱིངས	byiṅs	U+0F56;U+0FB1;U+0F72;U+0F44;U+0F66	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བྱིད	byid	U+0F56;U+0FB1;U+0F72;U+0F51	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound:2	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བྱིབས	byibs	U+0F56;U+0FB1;U+0F72;U+0F56;U+0F66	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_0C6592BB5CEF;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བྱིམ	byim	U+0F56;U+0FB1;U+0F72;U+0F58	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound:1	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བྱིས	byis	U+0F56;U+0FB1;U+0F72;U+0F66	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_63EB474B7A3F;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:6	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བྱུག	byug	U+0F56;U+0FB1;U+0F74;U+0F42	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound:10	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བྱུགས	byugs	U+0F56;U+0FB1;U+0F74;U+0F42;U+0F66	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_84A74DBDD722;CORPUS_9A673562CD7A;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound:3	none	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	downgrade	nonadmissible_observation
བྱུར	byur	U+0F56;U+0FB1;U+0F74;U+0F62	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_84A74DBDD722;CORPUS_6783C3DA00D4	ordinary_tibetan_lexical_or_compound:8	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
བྱུས	byus	U+0F56;U+0FB1;U+0F74;U+0F66	fully_resolved	CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_84A74DBDD722;CORPUS_735B62E02527	ordinary_tibetan_lexical_or_compound:4	none	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	retain	Current strict composition and admissible target support pass.
