tibetan_syllable	source_variant	former_mechanical_variant_nonsemantic	audit_priority	alignment_review_status	note	context_excerpt
རྐྱང	Ryan	Ryaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྐྱང་ཟླ་ Ryan zla.
རྟིང	yein	yeiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྟིང་འབྲང་བ་ yein ’braṅ ba
རྨང	rlun	rluṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཐལ་རྨང་ thal rlun Sandsturm.
ལྔང	ljan	ljaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	འཇམ་ལྔང་འདབ་ལྡན་ am ljan ’dab ldan Bez. für
ལྕང	lcun	lcuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ལྕང་མོ་ lcun mo Fingerhut.
ལྗང	ljan	ljaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ལྗང་ཚགས་ ljan tshags Sieb.
ལྗང	ljan	ljaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དྲུག་མར་ལྗང་ drug mar ljan
ལྗང	ljan	ljaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དྲུག་མར་ལྗང་ drug mar ljan Ocker; Laberitum
སང	srun	sruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངོ་སང་ no srun pf. und fut. ro bsrun jmdm.
སང	sran	sraṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དྭྱངལ་སང་ drul sran
སང	sran	sraṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དྭངལ་སང་ dnul sran eine Währung.
སྔོང	sdon	sdoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྐྱེ་སྔོང་ skye sdon ein Baum.
སྔོང	sdon	sdoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཆོད་སྔོང་ mchod sdon
སྔོང	sdon	sdoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཆོད་སྔོང་ mchod sdon.
སྔོང	sdon	sdoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཆོད་སྔོང་ཅན་ mchod sdon can
སྔོང	sdon	sdoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཆོད་སྔོང་ཅན་ mchod sdon can Bez. für Was-
སྔོང	ston	stoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྔོང་བརང་འྲཆི་བདག་ ston bdud ’chi bdag eine
སྙང	shan	shaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙང་སྙོང་ shan sion sinnlos, 111111061༽༣61110,
སྙིང	shin	shiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དགེ་བའི་སྙིང་པོ་ dge ba’i shin po
སྙིང	shin	shiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆེད་སྙིང་ ched shin
སྙིང	shin	shiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཇུག་སྙིང་ mjug shin
སྙིང	snin	sniṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་ཀ་ snin ka Isnin ga.
སྙིང	snin	sniṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་གི་ཡན་ལག་འགྲམས་ snin gi yan lag ’grams
སྙིང	snin	sniṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་འཐིབས་པ་ snin ’thibs pa verwirrt, betrübt.
སྙིང	snin	sniṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་གདོས་ snin gdos {.5/7//? sdos
སྙིང	szin	sziṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་ཕྲ་ང་ szin phur vollkommen, eindringlich
སྙིང	sAin	sAiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་ལས་ sAin las Sorge.
སྙིང	sAin	sAiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་ཤ་ sAin śa das Organ Herz.
སྙིང	sien	sieṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་ 'sien auch $)76/75 pf. Ibsnens fur. Ibsäen
སྙིང	shin	shiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	འཐབ་སྙིང་ 'thab shin geübt.
སྲིང	shin	shiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མ་མགོ་ཀགྲང་སྲིང་ dom mgo glan shin eine füh-
སླང	skun	skuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་སླང་ skun skun verborgen, geheim.
སླང	span	spaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གབ་སླང་ gab span [arch.] Gebälk, Abschluß-
སློང	sgon	sgoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མབར་སློང་ mkhar sgon
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་ཙེ་ལན་མེད་ ken tse lan med
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་ཙེ་ལན་མེད་ ken tse lan med N. einer Phya-
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་རུས་ ken rus
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་རུས་ ken rus Knochen, Gebeine, Gerippe,
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་རུས་དཀར་མོ་ ken rus dkar mo „weißes Ske-
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་རུས་ཅན་ ken rus can npr. „mit einem Skelett
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་རུས་ཆེན་པོ་ ken rus chen po „großes Skelett“,
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་ཤི་ ken si tkin %.
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་ཤུ་ཀ་ ken Su ka Tkin Su ka.
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀེང་ཤེ་ ken se Tkin 7.
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཅང་ཀེང་ caṅ ken
ཀེང	ken	keṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཅང་ཀེང་ can ken die chin. Regierungsdevise &
ཀོང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོང་ད་འཕེལ་ gon du ’phel sich verbreiten, zu-
ཀོང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོང་མ་སྲེག་ gon ma sreg ein Vogel, Rebhuhn.
ཀོང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོང་མོ་ gon mo ein Vogel.
ཀོང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོང་རྩེ་ gon rtse Kragen.
ཀོང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོང་ལེན་ gon len
ཀོང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོང་ལེན་ gon len Trophäe.
ཀོང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོང་སེལ་ gon sel ein Ritual.
ཀོང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྲཁ།་ཀོང་ thal gon der Bereich zwischen den
ཁང	kan	kaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁང་ཁུང་ kan khuṅ
གང	gun	guṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གང་བྲང་ gun than npr. eine Gegend in mÑa’-
གང	gun	guṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གང་ལོ་ gun lo Ydgun 2.
གང	gon	goṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གང་སྐར་ gon skor
གཏང	gun	guṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཏང་དཔག་ gun dpag fur. zu gti dpog_ er-
གདུང	gun	guṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྐུ་གདུང་ sh gun.
གདོང	can	caṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྟ་ཡི་གདོང་ཅན་ rta ༡// gdon can Trta gdon can.
གཞུང	gun	guṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྲེལ་གཞུང་ khrel gun \khrel.
ང	kan	kaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ཀ་ནག་ག་ཀ་བཅཙན་ kan ka nag gi klu btsan eine
ང	kun	kuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ས་ kun sa divin., einer der vier bzw. fünf gro-
ང	kon	koṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ཚོ་ kon tsho eine Schule, die von śab-rtse im
ང	gan	gaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་ཁོ་སྦིས། བྲེང་ gan po skem byed Beiname des
ང	dan	daṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་པོའི་རྫལ་རྨན་ dan po’ rdul can Bez. für
ངང	dun	duṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྲིམས་ངང་ khrims dun
ངང	dun	duṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྲིམས་ངང་ khrims dun ein bei Gericht geblase-
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	འགྲོ་བའི་ངང་ཚུལ་ gro ba’i nan tshul Bez. für
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་སྐྱ་ nan skya isabellfarben, weißlich.
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་འགྲོས་ nan ’gros Bez. eines rituellen Tan-
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་ཐག་བསྲིང་ nan thag bsrin fut. ertragen.
ངང	man	maṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་པ་ man pa
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་འཐེན་ nan ’then Aufschub, Verzögerung.
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་པ་ཅན་ nan pa can
ངང	nah	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་པའི་རྐང་པ་ nah pa’ rkaṅ pa Bez. für
ངང	man	maṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་པའི་ཁ་ཉོ། man pa’i bu mo Beiname der
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་པའི་བཞོན་པ་ nan pa’i bon pa Beiname des
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་པའི་ཤིང་རྟ་ nan pa’i siṅ rta Beiname des
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་བསིངས་ nan bsrins
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་ཞེར་ nan Zur isabellfarbenes Pferd bzw.
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་སེར་ nan ser.
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་བསིང་ nan bsrin fut. verlängern, hinaus-
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ངང་བསིངས་ nan bsrins pf. verlängern, hinaus-
ངང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དུམ་བུའི་ངང་ཚུལ་ dum bu’i nan tshul eine sinn-
ཅང	con	coṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"ཅང"" con 27 auch cun Zi, con Zu, gcon Zı ein"
ཉུང	run	ruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁ་ཉུང་ kha run wortkarg.
ཉུང	nun	nuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཉུང་ཀར་ nun kar [/7//77.4 kar.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆུ་ཏང་རན chu tin ron npr. eine Nägini.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་གོར་ tin gor Melasse, die in einer Schale in
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ཏང་ tin tin (0110111, ein Laut.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ཏང་ tin tin (0110111, ein Laut.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ཏང་མ་ tin tin ma ein Vogel.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ཏང་མ་ tin tin ma ein Vogel.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ཏང་ཤགས་ tin tin Sags 1///7 6:95.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ཏང་ཤགས་ tin tin Sags 1///7 6:95.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ནམ་ tin nam Zi. Wasser, Ozean.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ནམ་རྒྱལ་མོ་ tin nam rgyal mo npr. eine
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་འཛན་ tin 7/7//7 Yiin ne 'dzin.
ཏང	tin	tiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏང་ཤ་ tin so
ཏིང	tun	tuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏིང་ངེ་འཛིན་་ tun ne ’dzin ...
དང	dun	duṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དགན་དང་ dgun dun \dgon dun.
དང	dun	duṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དགོན་དང་ dgon dun auch ~ can, dgun dun can
དང	dun	duṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྒྱ་མཚོའི་དང་ྲེང་ rgya mtsho’i dun phren Bez.
དང	dun	duṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྒྲ་སྐྱེད་ཀློག་དང་ ཡའ a skyed glog dun Lautspre-
དང	dun	duṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བྱྱ་བྱིན་དང་ brgya byin dun nach rechts ge-
ཕང	pan	paṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"མ་ཕང་ ""ma pan feine Spindel."
བཟུང	von	voṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ད་གཟོད་ནས་བཟུང་ dagzod nas bzuṅ von nun an.
མང	mon	moṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཐུན་མང་ mthun mon །[//)//?2 mon.
ཞང	Zin	Ziṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆུ ཞང་ chu Zin Reisfeld.
འགང	gah	gaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དིང་འགང་ din ’'gah (zw.) Filztuch; vgl. Igdin
ཡང	nun	nuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ད་ཡང་ dayan nun; auch jetzt, auch jetzt noch;
རྐང	ran	raṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྐང་དྲུག་ ran ing ep
ལང	lin	liṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མག་ལང་ go lin.
ལྔང	lan	laṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ལྔང་སེར་ཅན་ lan ser can Bez. für Dürvä-Gras.
ལྗང	han	haṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྒྲོ་ལྗང་ sgro han Papagei.
ལྗང	han	haṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ལྗང་ཁ་ han khn.
ལྗང	han	haṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ལྗང་ལྔོའི་བུ་ han sho’i bu
ལྗང	han	haṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ལྗང་ཡུལ་ han yul jan.
ལྗང	han	haṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ལྗང་ལོ་ han lo alttib. für t/can lo 2 Haarlocke.
ལྤང	bon	boṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཕ་ལྤང་ phpha bon.
ཤང	Sin	Siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	རྒྱངས ཤང་ rgyans Sin ein Werkzeug zum Be-
ཤང	Sun	Suṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཅང་འེ་ཤང་ can ’e Sun npr.
ཤང	Sin	Siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆུ་ཤང་ ch Sin.
ཤང	Sin	Siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆུ་ཤང་ཆ cha Sin ma.
ཤང	Sin	Siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཉ མའ་ཤང་ ni ma’ Sin eine Pflanze.
ཤང	Sin	Siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གཉའ་ཤང་གང་ཅམ་ལྟ་བ་ gia’ Sin gaṅ tsam lta ba
ཤེང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀམ་ཤེང་ kam sen, auch skam sen, kham śen ein
ཤེང	śen	śeṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀིམ་ཤེང་ཀོང་ཅོ་ kim śen koṅ co, auch kim sen khon
ཤེང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀུན་ཤེང་ཀོང་ཇོ་ kun sen koṅ jo \wun sin kon jo.
ཤེང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོ་ཤེང་ ko sen, auch kon sen N. einer Gegend.
ཤེང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀོང་ཤེང་ koṅ sen eine Region in der Nähe von
ཤེང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྐམ་ཤེང་ skam sen kam Sen.
ཤེང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁམ་ཤེང་ kham sen Tkam sen.
སང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྐྱ་སང་སང་པ་ skya sen sen po
སང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྐྱ་སང་སང་པ་ skya sen sen po
སང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།ཁང་སང་ khon sen auch khon sin, khon gsen
སང	sen	seṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙང་རྩ་སང་བ་ SAN risa sen ba erleichtert, er-
སྔང	san	saṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཆེང་སྔང་ chin san auch ’chin san, phyin san
སྔང	san	saṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	འཆིང་སྔང་ chiṅ san Tchin san.
སྔོང	son	soṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"བང་སྔོང་ ""byun son Einkünfte und Ausgaben."
སྙང	sin	siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"མཇུག་སྙང་ ming sin auch ""ug säin Herzstück"
སྙང	sin	siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙང་ཆུ་ sin chu eine Herzkrankheit.
སྙང	Min	Miṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙང་ནད་ Min nad Herzerkrankung, Herz-
སྙང	sin	siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙང་པ་ཡ་ག་དྲག་མ་ sin po yi ge drug ma der
སྙང	sin	siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙང་མ་ sin ma (zw.) Blüten; vgl. Isie ma.
སྙང	san	saṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙང་རླུང་ san rluṅ
སྙིང	sun	suṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་ sun.
སྙིང	sth	stṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"auch der Himmelsfluß"" (brDa); ha' chn bo ནམ་མཁའི་སྙིང་པོ nam mkha'i sth po auch nam"
སྤོང	nan	naṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	& “་སྤོང་སྐྱེས་ nan spoh skyes Bez. für dürväa-
སྲིང	sin	siṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཅུང་སྲིང་ cun sin eine Speise.
གོང	in	iṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དང་གོང་ dangon in thugs kyi — Brust.
ཆུང	ch	cṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྟག་འུ་ཆུང་ stag u ch
