tibetan_syllable	candidate_forms	independent_occurrences	volumes	entry_clusters	historical_occurrences	competing_forms	missing_evidence	promotion_disposition
རྗེའི	rje'i	9	wts_35_51		11		single_volume	retain_moderate
རྟབ	rtab	5	wts_1_34		5		single_volume	retain_moderate
རྟེ	rta	3	wts_1_34		3		single_volume	retain_moderate
རྟོན	rton	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རྡར	rdar	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
རྡོརྗེ	rdo	5	wts_35_51		6		single_volume	retain_moderate
རྣོན	rnon	2	wts_35_51;wts_8_b		8		fewer_than_3_independent_occurrences	retain_moderate
རྦད	rbad	2	wts_1_34;wts_8_b		7		fewer_than_3_independent_occurrences	retain_moderate
རྨད	rmad	5	wts_9_m		9		single_volume	retain_moderate
རྩིག	rtsig	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རྩེས	risis	2	wts_8_b;wts_9_m		2		fewer_than_3_independent_occurrences	retain_moderate
རྩོད	rtsod	4	wts_1_34		4		single_volume	retain_moderate
རྩོལ	rtsol	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རྫ	rdza	2	wts_1_34;wts_35_51;wts_8_b		3		fewer_than_3_independent_occurrences	retain_moderate
རྫབ	rdzab	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
རྫིང	rdziṅ	3	wts_9_m		3		single_volume	retain_moderate
རྫོང	rdzoṅ	3	wts_1_34;wts_35_51;wts_8_b		8		entry_cluster_independence	retain_moderate
རྫོབ	rdzob	5	wts_1_34		5		single_volume	retain_moderate
རྭ	rwa	2	wts_1_34;wts_35_51		9		fewer_than_3_independent_occurrences	retain_moderate
རྱོང	myoṅ	2	wts_9_m		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
རླབས	rlabs	5	wts_8_b		14		single_volume	retain_moderate
རླུང	rluṅ	2	wts_1_34;wts_8_b;wts_9_m		2		fewer_than_3_independent_occurrences	retain_moderate
ལུགས	lugs	4	wts_1_34		19		single_volume	retain_moderate
ལོགས	logs	2	wts_35_51		5		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ལོན	lon	4	wts_1_34		12		single_volume	retain_moderate
ལོའི	lo’i	10	wts_1_34		10		single_volume	retain_moderate
ལོས	los	4	wts_1_34		4		single_volume	retain_moderate
ལྔང	ldaṅ	3	wts_1_34;wts_35_51		4		entry_cluster_independence	retain_moderate
ལྔན	ldan	3	wts_1_34		15		single_volume	retain_moderate
ལྕམ	lcam	2	wts_1_34;wts_35_51		9		fewer_than_3_independent_occurrences	retain_moderate
ལྕེ	lce	2	wts_1_34;wts_8_b		10		fewer_than_3_independent_occurrences	retain_moderate
ལྟ	lta	6	wts_1_34;wts_35_51		69		entry_cluster_independence	retain_moderate
ལྡང	ldaṅ	3	wts_1_34;wts_35_51		3		entry_cluster_independence	retain_moderate
ལྡུམ	ldum	2	wts_35_51;wts_9_m		8		fewer_than_3_independent_occurrences	retain_moderate
ལྡེམ	ldem	2	wts_1_34;wts_35_51		8		fewer_than_3_independent_occurrences	retain_moderate
ལྡོག	ldog	2	wts_35_51		15		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ལྷའི	lha'i	3	wts_35_51		3		single_volume	retain_moderate
ལྷོགས	lhogs	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཤམྦྷི	sambhi	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཤར	Sar	2	wts_1_34		6		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཤུག	sug	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཤོབ	sob	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
སང	saṅ	2	wts_1_34;wts_35_51		3		fewer_than_3_independent_occurrences	retain_moderate
སམ	sam	2	wts_1_34;wts_35_51		3		fewer_than_3_independent_occurrences	retain_moderate
སཱན	sran	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སི	si	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སིམ	sim	4	wts_1_34		4		single_volume	retain_moderate
སོང	soṅ	9	wts_1_34;wts_8_b		9		entry_cluster_independence	retain_moderate
སོན	son	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
སོལ	sol	2	wts_1_34;wts_35_51		4		fewer_than_3_independent_occurrences	retain_moderate
སྐབས	skabs	13	wts_1_34		42		single_volume	retain_moderate
སྐས	skas	3	wts_1_34		16		single_volume	retain_moderate
སྐུད	skud	2	wts_1_34		13		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྐེམ	skem	4	wts_1_34		12		single_volume	retain_moderate
སྐོས	skos	3	wts_1_34		4		single_volume	retain_moderate
སྐྱ	skya	12	wts_1_34		55		single_volume	retain_moderate
སྐྱོ	skyo	5	wts_1_34		22		single_volume	retain_moderate
སྒ	sga	4	wts_1_34		12		single_volume	retain_moderate
སྒང	sgaṅ	2	wts_1_34;wts_35_51;wts_8_b		3		fewer_than_3_independent_occurrences	retain_moderate
སྒབ	sgab	3	wts_1_34		6		single_volume	retain_moderate
སྒམ	sgam	5	wts_1_34		12		single_volume	retain_moderate
སྒོམ	sgom	4	wts_1_34		19		single_volume	retain_moderate
སྒྱུབ	sgrub	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྒྲོ	sgro	2	wts_1_34;wts_8_b		11		fewer_than_3_independent_occurrences	retain_moderate
སྔད	sdud	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྔིག	sdig	3	wts_35_51		6		single_volume	retain_moderate
སྔོ	sno	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྔོན	shon	5	wts_1_34		25		single_volume	retain_moderate
སྔོམ	sdom	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
སྙང	snaṅ	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྙད	sad	4	wts_1_34		4		single_volume	retain_moderate
སྙིང	siṅ	3	wts_35_51		3		single_volume	retain_moderate
སྙེ	sie	4	wts_1_34		9		single_volume	retain_moderate
སྙོམས	sioms	2	wts_1_34;wts_8_b		5		fewer_than_3_independent_occurrences	retain_moderate
སྟ	sta	4	wts_1_34		18		single_volume	retain_moderate
སྟར	star	4	wts_1_34		10		single_volume	retain_moderate
སྟེ	ste	2	wts_35_51		8		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྡང	sdaṅ	5	wts_1_34;wts_35_51		5		entry_cluster_independence	retain_moderate
སྡིག	sdig	2	wts_1_34;wts_35_51		17		fewer_than_3_independent_occurrences	retain_moderate
སྡུག	sdug	10	wts_35_51		26		single_volume	retain_moderate
སྡོང	sdoṅ	23	wts_1_34;wts_35_51;wts_8_b		26		entry_cluster_independence	retain_moderate
སྣབས	snabs	2	wts_8_b		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྣུམ	snum	6	wts_35_51		14		single_volume	retain_moderate
སྣེའུ	sne'u	2	wts_35_51		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྤས	sbas	3	wts_35_51;wts_8_b		8		entry_cluster_independence	retain_moderate
སྤུང	spuṅ	4	wts_35_51		4		single_volume	retain_moderate
སྤུར	spur	2	wts_35_51		5		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྤུས	spus	4	wts_35_51		8		single_volume	retain_moderate
སྤེན	spen	3	wts_35_51		10		single_volume	retain_moderate
སྤོ	spo	6	wts_35_51		10		single_volume	retain_moderate
སྤོང	spoṅ	3	wts_1_34;wts_35_51		4		entry_cluster_independence	retain_moderate
སྤོབས	spobs	3	wts_35_51		10		single_volume	retain_moderate
སྤྱིན	sbyin	6	wts_8_b		29		single_volume	retain_moderate
སྤྲི	spyi	9	wts_35_51		19		single_volume	retain_moderate
སྤྲུལ	sprul	4	wts_35_51		13		single_volume	retain_moderate
སྤྲེའུ	spre’u	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྦལ	sbal	2	wts_1_34;wts_35_51		4		fewer_than_3_independent_occurrences	retain_moderate
སྦས	sbas	4	wts_8_b		6		single_volume	retain_moderate
སྨིན	smin	4	wts_9_m		20		single_volume	retain_moderate
སྨོས	smos	2	wts_8_b;wts_9_m		7		fewer_than_3_independent_occurrences	retain_moderate
སྨྱུག	smyug	2	wts_9_m		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྩལ	stsal	3	wts_1_34		4		single_volume	retain_moderate
སྩོལ	stsol	3	wts_1_34		3		single_volume	retain_moderate
སྲན	sran	2	wts_9_m		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སྲིན	srin	2	wts_1_34;wts_35_51		9		fewer_than_3_independent_occurrences	retain_moderate
སླད	slad	4	wts_1_34		14		single_volume	retain_moderate
སླེབས	slebs	2	wts_1_34		5		fewer_than_3_independent_occurrences;single_volume	retain_moderate
སློ	sgo	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཧ	ha	2	wts_1_34;wts_35_51		18		fewer_than_3_independent_occurrences	retain_moderate
ཧབ	hab	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
ཧཱ	hā	5	wts_9_m		7		single_volume	retain_moderate
ཧོར	hor	3	wts_1_34;wts_8_b		4		entry_cluster_independence	retain_moderate
ཨ	ma	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཨར	mar	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ོ	rgyud	2	wts_35_51		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ོལ	khol	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ྱེད	byed	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
